"parentUrl";"expandInMenu";"visible";"priority";"access";"title";"linkText";"url";"topDescription";"bottomDescription";"metaTitle";"metaDescription"
"filtre-2";"0";"1";"2";"1";"ND a variabilné ND filtre";"ND a variabilné ND filtre";"nd-a-variabilne-nd-filtre";"<p>ND a variabilné ND filtre znižujú množstvo svetla dopadajúceho na snímač.</p>";"<h2>ND a variabilné ND filtre – výber a použitie</h2><p>Vyberajte podľa rozsahu útlmu a spôsobu montáže. Pri variabilnom filtri skontrolujte odporúčaný rozsah použitia a kompatibilitu s objektívom alebo kamerou.</p><p>Ďalší výber ponúka <a href=""/filtre-2/"">Filtre</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/supravy-fotografickych-filtrov/"">Súpravy fotografických filtrov</a>.</p>";"ND a variabilné ND filtre | PremiumStore.sk";"ND a variabilné ND filtre znižujú množstvo svetla dopadajúceho na snímač."
"filtre-2";"0";"1";"3";"1";"Súpravy fotografických filtrov";"Súpravy fotografických filtrov";"supravy-fotografickych-filtrov";"<p>Súpravy fotografických filtrov spájajú viac filtrov pre rôzne svetelné podmienky.</p>";"<h2>Súpravy fotografických filtrov – výber a použitie</h2><p>Porovnajte presné typy filtrov v balení a spôsob uchytenia. Sady ND, polarizačné a kombinované sady pokrývajú odlišné použitie.</p><p>Ďalší výber ponúka <a href=""/filtre-2/"">Filtre</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/nd-a-variabilne-nd-filtre/"">ND a variabilné ND filtre</a>.</p>";"Súpravy fotografických filtrov | PremiumStore.sk";"Súpravy fotografických filtrov spájajú viac filtrov pre rôzne svetelné podmienky."
"fotoatelier-2";"0";"1";"1";"1";"Fotografické a video svetlá";"Fotografické a video svetlá";"fotograficke-a-video-svetla";"<p>Fotografické a video svetlá dopĺňajú osvetlenie pri natáčaní aj fotografovaní.</p>";"<h2>Fotografické a video svetlá – výber a použitie</h2><p>Porovnajte výkon, farebnú teplotu, spôsob napájania a možnosti uchytenia. Trvalé svetlo a zábleskové zariadenie vyberajte podľa spôsobu práce.</p><p>Ďalší výber ponúka <a href=""/fotoatelier-2/"">Fotoateliér</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/fotostany-a-fotoboxy/"">Fotostany a fotoboxy</a>.</p>";"Fotografické a video svetlá | PremiumStore.sk";"Fotografické a video svetlá dopĺňajú osvetlenie pri natáčaní aj fotografovaní."
"fotoatelier-2";"0";"1";"2";"1";"Fotostany a fotoboxy";"Fotostany a fotoboxy";"fotostany-a-fotoboxy";"<p>Fotostany a fotoboxy vytvárajú ohraničený priestor na fotografovanie menších predmetov.</p>";"<h2>Fotostany a fotoboxy – výber a použitie</h2><p>Vyberajte podľa veľkosti fotografovaného produktu, rozmerov boxu a možností osvetlenia. Skontrolujte, či je svetlo aj pozadie súčasťou balenia.</p><p>Ďalší výber ponúka <a href=""/fotoatelier-2/"">Fotoateliér</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/softboxy-a-modifikatory-svetla/"">Softboxy a modifikátory svetla</a>.</p>";"Fotostany a fotoboxy | PremiumStore.sk";"Fotostany a fotoboxy vytvárajú ohraničený priestor na fotografovanie menších predmetov."
"fotoatelier-2";"0";"1";"3";"1";"Softboxy a modifikátory svetla";"Softboxy a modifikátory svetla";"softboxy-a-modifikatory-svetla";"<p>Softboxy a difuzéry menia rozptyl a charakter fotografického svetla.</p>";"<h2>Softboxy a modifikátory svetla – výber a použitie</h2><p>Overte rozmer modifikátora, spôsob uchytenia a kompatibilitu so svetlom. Väčšia plocha a vzdialenosť od objektu ovplyvňujú mäkkosť tieňov.</p><p>Ďalší výber ponúka <a href=""/fotoatelier-2/"">Fotoateliér</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/fotostany-a-fotoboxy/"">Fotostany a fotoboxy</a>.</p>";"Softboxy a modifikátory svetla | PremiumStore.sk";"Softboxy a difuzéry menia rozptyl a charakter fotografického svetla."
"prislusenstvo-pre-fotoaparaty-a-akcne-kamery";"0";"1";"1";"1";"Batérie a nabíjačky pre kamery";"Batérie a nabíjačky pre kamery";"baterie-a-nabijacky-pre-kamery";"<p>Batérie a nabíjačky pre fotoaparáty a akčné kamery slúžia na doplnenie energie pri fotografovaní a natáčaní.</p>";"<h2>Batérie a nabíjačky pre kamery – výber a použitie</h2><p>Overte označenie kompatibilnej batérie, napätie a podporovaný model kamery. Pri nabíjacom boxe porovnajte počet pozícií a skontrolujte, či balenie obsahuje aj akumulátory.</p><p>Ďalší výber ponúka <a href=""/prislusenstvo-pre-fotoaparaty-a-akcne-kamery/"">Príslušenstvo pre fotoaparáty a akčné kamery</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/ochranne-skla-a-folie-pre-kamery/"">Ochranné sklá a fólie pre kamery</a>.</p>";"Batérie a nabíjačky pre kamery | PremiumStore.sk";"Batérie a nabíjačky pre fotoaparáty a akčné kamery slúžia na doplnenie energie pri fotografovaní a natáčaní."
"prislusenstvo-pre-fotoaparaty-a-akcne-kamery";"0";"1";"2";"1";"Ochranné kryty a klietky pre kamery";"Ochranné kryty a klietky pre kamery";"ochranne-kryty-a-klietky-pre-kamery";"<p>Ochranné kryty a kamerové klietky dopĺňajú telo kamery pri prenášaní aj natáčaní.</p>";"<h2>Ochranné kryty a klietky pre kamery – výber a použitie</h2><p>Silikónový kryt chráni povrch, pevná klietka môže ponúkať montážne body pre ďalšiu výbavu. Overte prístup k tlačidlám, konektorom a batérii.</p><p>Ďalší výber ponúka <a href=""/prislusenstvo-pre-fotoaparaty-a-akcne-kamery/"">Príslušenstvo pre fotoaparáty a akčné kamery</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/baterie-a-nabijacky-pre-kamery/"">Batérie a nabíjačky pre kamery</a>.</p>";"Ochranné kryty a klietky pre kamery | PremiumStore.sk";"Ochranné kryty a kamerové klietky dopĺňajú telo kamery pri prenášaní aj natáčaní."
"prislusenstvo-pre-fotoaparaty-a-akcne-kamery";"0";"1";"3";"1";"Ochranné sklá a fólie pre kamery";"Ochranné sklá a fólie pre kamery";"ochranne-skla-a-folie-pre-kamery";"<p>Ochranné sklá a fólie chránia displeje a optické kryty akčných kamier.</p>";"<h2>Ochranné sklá a fólie pre kamery – výber a použitie</h2><p>Rozhodujú presný model kamery, tvar displeja a rozsah balenia. Sklo na displej a ochrana objektívu nie sú zameniteľné.</p><p>Ďalší výber ponúka <a href=""/prislusenstvo-pre-fotoaparaty-a-akcne-kamery/"">Príslušenstvo pre fotoaparáty a akčné kamery</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/baterie-a-nabijacky-pre-kamery/"">Batérie a nabíjačky pre kamery</a>.</p>";"Ochranné sklá a fólie pre kamery | PremiumStore.sk";"Ochranné sklá a fólie chránia displeje a optické kryty akčných kamier."
"stativy-drziaky-a-upevnenie";"0";"1";"1";"1";"Držiaky a montážne úchyty pre kamery";"Držiaky a montážne úchyty pre kamery";"drziaky-a-montazne-uchyty-pre-kamery";"<p>Držiaky a montážne úchyty slúžia na upevnenie kamier k riadidlám, hladkým povrchom alebo ďalšej výbave.</p>";"<h2>Držiaky a montážne úchyty pre kamery – výber a použitie</h2><p>Skontrolujte typ spojenia, priemer objímky alebo požadovaný povrch pre prísavku. Nosnosť a určené použitie sa medzi jednotlivými úchytmi líšia.</p><p>Ďalší výber ponúka <a href=""/stativy-drziaky-a-upevnenie/"">Statívy, držiaky a upevnenie pre kamery</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/selfie-tyce-pre-kamery/"">Selfie tyče pre kamery</a>.</p>";"Držiaky a montážne úchyty pre kamery | PremiumStore.sk";"Držiaky a montážne úchyty slúžia na upevnenie kamier k riadidlám, hladkým povrchom alebo ďalšej výbave."
"stativy-drziaky-a-upevnenie";"0";"1";"2";"1";"Popruhy a postroje pre kamery";"Popruhy a postroje pre kamery";"popruhy-a-postroje-pre-kamery";"<p>Popruhy a postroje umožňujú upevniť kameru na telo alebo výstroj.</p>";"<h2>Popruhy a postroje pre kamery – výber a použitie</h2><p>Vyberajte podľa miesta uchytenia a rozsahu nastavenia. Pri športe overte kompatibilitu montážneho prvku a vhodnosť upevnenia pre konkrétnu aktivitu.</p><p>Ďalší výber ponúka <a href=""/stativy-drziaky-a-upevnenie/"">Statívy, držiaky a upevnenie pre kamery</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/selfie-tyce-pre-kamery/"">Selfie tyče pre kamery</a>.</p>";"Popruhy a postroje pre kamery | PremiumStore.sk";"Popruhy a postroje umožňujú upevniť kameru na telo alebo výstroj."
"stativy-drziaky-a-upevnenie";"0";"1";"3";"1";"Selfie tyče pre kamery";"Selfie tyče pre kamery";"selfie-tyce-pre-kamery";"<p>Selfie tyče pre akčné kamery umožňujú meniť odstup a uhol záberu pri natáčaní z ruky.</p>";"<h2>Selfie tyče pre kamery – výber a použitie</h2><p>Porovnajte zloženú a vysunutú dĺžku, nosnosť a typ uchytenia. Funkcia neviditeľnej tyče závisí od konkrétnej 360° kamery a spôsobu snímania.</p><p>Ďalší výber ponúka <a href=""/stativy-drziaky-a-upevnenie/"">Statívy, držiaky a upevnenie pre kamery</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/popruhy-a-postroje-pre-kamery/"">Popruhy a postroje pre kamery</a>.</p>";"Selfie tyče pre kamery | PremiumStore.sk";"Selfie tyče pre akčné kamery umožňujú meniť odstup a uhol záberu pri natáčaní z ruky."
"stativy-drziaky-a-upevnenie";"0";"1";"4";"1";"Statívy pre fotoaparáty a kamery";"Statívy pre fotoaparáty a kamery";"stativy-pre-fotoaparaty-a-kamery";"<p>Statívy stabilizujú fotoaparát alebo kameru pri pevnom zábere.</p>";"<h2>Statívy pre fotoaparáty a kamery – výber a použitie</h2><p>Porovnajte pracovnú výšku, nosnosť, hmotnosť a typ hlavy. Pri cestovaní je dôležitá zložená dĺžka; pri videu plynulosť ovládania hlavy.</p><p>Ďalší výber ponúka <a href=""/stativy-drziaky-a-upevnenie/"">Statívy, držiaky a upevnenie pre kamery</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/selfie-tyce-pre-kamery/"">Selfie tyče pre kamery</a>.</p>";"Statívy pre fotoaparáty a kamery | PremiumStore.sk";"Statívy stabilizujú fotoaparát alebo kameru pri pevnom zábere."
