"parentUrl";"expandInMenu";"visible";"priority";"access";"title";"linkText";"url";"topDescription";"bottomDescription";"metaTitle";"metaDescription"
"kuchynske-roboty-a-krajace";"0";"1";"2";"1";"Kuchynské roboty";"Kuchynské roboty";"kuchynske-roboty";"<p>Kuchynské roboty kombinujú viac úloh pri príprave jedál.</p>";"<h2>Kuchynské roboty – výber a použitie</h2><p>Porovnajte objem misy, dostupné pracovné nástroje a rozsah balenia. Doplnkové nadstavce nemusia byť súčasťou základnej zostavy.</p><p>Ďalší výber ponúka <a href=""/kuchynske-roboty-a-krajace/"">Kuchynské roboty a krájače</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/mixery-a-slahace/"">Mixéry a šľahače</a>.</p>";"Kuchynské roboty | PremiumStore.sk";"Kuchynské roboty kombinujú viac úloh pri príprave jedál."
"kuchynske-roboty-a-krajace";"0";"1";"3";"1";"Mixéry a šľahače";"Mixéry a šľahače";"mixery-a-slahace";"<p>Mixéry a šľahače pomáhajú pri príprave cesta, krémov a ďalších jedál.</p>";"<h2>Mixéry a šľahače – výber a použitie</h2><p>Rozlišujte stolový, tyčový a ručný prístroj podľa spôsobu práce. Porovnajte objem nádob, nadstavce a možnosti čistenia.</p><p>Ďalší výber ponúka <a href=""/kuchynske-roboty-a-krajace/"">Kuchynské roboty a krájače</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/kuchynske-roboty/"">Kuchynské roboty</a>.</p>";"Mixéry a šľahače | PremiumStore.sk";"Mixéry a šľahače pomáhajú pri príprave cesta, krémov a ďalších jedál."
"priprava-napojov";"0";"1";"1";"1";"Filtračné kanvice";"Filtračné kanvice";"filtracne-kanvice";"<p>Filtračné kanvice využívajú vymeniteľnú vložku na úpravu vody podľa parametrov výrobcu.</p>";"<h2>Filtračné kanvice – výber a použitie</h2><p>Skontrolujte objem kanvice a typ kompatibilnej vložky. Interval výmeny závisí od spotreby aj kvality vstupnej vody.</p><p>Ďalší výber ponúka <a href=""/priprava-napojov/"">Príprava nápojov</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/rychlovarne-kanvice/"">Rýchlovarné kanvice</a>.</p>";"Filtračné kanvice | PremiumStore.sk";"Filtračné kanvice využívajú vymeniteľnú vložku na úpravu vody podľa parametrov výrobcu."
"priprava-napojov";"0";"1";"2";"1";"Rýchlovarné kanvice";"Rýchlovarné kanvice";"rychlovarne-kanvice";"<p>Rýchlovarné kanvice slúžia na ohrev vody pre bežnú prípravu nápojov.</p>";"<h2>Rýchlovarné kanvice – výber a použitie</h2><p>Porovnajte objem, materiál, spôsob čistenia a reguláciu teploty. Pre menšie množstvo vody je dôležitá aj minimálna hladina určená výrobcom.</p><p>Ďalší výber ponúka <a href=""/priprava-napojov/"">Príprava nápojov</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/filtracne-kanvice/"">Filtračné kanvice</a>.</p>";"Rýchlovarné kanvice | PremiumStore.sk";"Rýchlovarné kanvice slúžia na ohrev vody pre bežnú prípravu nápojov."
"vysavace";"0";"1";"1";"1";"Robotické vysávače";"Robotické vysávače";"roboticke-vysavace";"<p>Robotické vysávače automatizujú časť pravidelného čistenia podláh.</p>";"<h2>Robotické vysávače – výber a použitie</h2><p>Porovnajte navigáciu, výšku zariadenia, prechod cez prahy a funkcie stanice. Mopovanie a automatické čistenie mopu sú vlastnosti len vybraných modelov.</p><p>Ďalší výber ponúka <a href=""/vysavace/"">Vysávače</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/tycove-vysavace/"">Tyčové vysávače</a>.</p>";"Robotické vysávače | PremiumStore.sk";"Robotické vysávače automatizujú časť pravidelného čistenia podláh."
"vysavace";"0";"1";"2";"1";"Tyčové vysávače";"Tyčové vysávače";"tycove-vysavace";"<p>Tyčové vysávače sú určené na priebežné upratovanie domácnosti.</p>";"<h2>Tyčové vysávače – výber a použitie</h2><p>Porovnajte hmotnosť, výdrž pri používanom režime a príslušenstvo. Vyberajte podľa typu podláh a požadovaného použitia ručnej jednotky.</p><p>Ďalší výber ponúka <a href=""/vysavace/"">Vysávače</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/roboticke-vysavace/"">Robotické vysávače</a>.</p>";"Tyčové vysávače | PremiumStore.sk";"Tyčové vysávače sú určené na priebežné upratovanie domácnosti."
"vysavace";"0";"1";"3";"1";"Vreckové a bezvreckové vysávače";"Vreckové a bezvreckové vysávače";"vreckove-a-bezvreckove-vysavace";"<p>Podlahové vreckové a bezvreckové vysávače ponúkajú rozdielny spôsob zberu nečistôt.</p>";"<h2>Vreckové a bezvreckové vysávače – výber a použitie</h2><p>Zohľadnite typ podláh, objem nádoby alebo vrecka, filtráciu a pracovný dosah. Dostupnosť spotrebného materiálu overte ešte pred výberom.</p><p>Ďalší výber ponúka <a href=""/vysavace/"">Vysávače</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/roboticke-vysavace/"">Robotické vysávače</a>.</p>";"Vreckové a bezvreckové vysávače | PremiumStore.sk";"Podlahové vreckové a bezvreckové vysávače ponúkajú rozdielny spôsob zberu nečistôt."
"smart-domacnost";"0";"1";"1";"1";"Senzory pohybu a otvorenia";"Senzory pohybu a otvorenia";"senzory-pohybu-a-otvorenia";"<p>Senzory pohybu a otvorenia informujú o pohybe osôb alebo zmene stavu dverí a okien.</p>";"<h2>Senzory pohybu a otvorenia – výber a použitie</h2><p>Vyberajte podľa sledovaného javu, dosahu a protokolu. Pri automatizácii overte kompatibilitu s hubom a spôsob napájania snímača.</p><p>Ďalší výber ponúka <a href=""/smart-domacnost/"">Smart domácnosť – zariadenia</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/smart-zasuvky/"">Smart zásuvky</a>.</p>";"Senzory pohybu a otvorenia | PremiumStore.sk";"Senzory pohybu a otvorenia informujú o pohybe osôb alebo zmene stavu dverí a okien."
"smart-domacnost";"0";"1";"2";"1";"Senzory teploty a vlhkosti";"Senzory teploty a vlhkosti";"senzory-teploty-a-vlhkosti";"<p>Senzory teploty a vlhkosti poskytujú údaje pre prehľad o vnútornom prostredí.</p>";"<h2>Senzory teploty a vlhkosti – výber a použitie</h2><p>Porovnajte rozsah a presnosť merania, interval aktualizácie a spôsob komunikácie. Ak má senzor spúšťať automatizácie, overte podporu v používanej aplikácii.</p><p>Ďalší výber ponúka <a href=""/smart-domacnost/"">Smart domácnosť – zariadenia</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/smart-zasuvky/"">Smart zásuvky</a>.</p>";"Senzory teploty a vlhkosti | PremiumStore.sk";"Senzory teploty a vlhkosti poskytujú údaje pre prehľad o vnútornom prostredí."
"smart-domacnost";"0";"1";"3";"1";"Smart termostaty a hlavice";"Smart termostaty a hlavice";"smart-termostaty-a-hlavice";"<p>Smart termostaty a hlavice slúžia na riadenie vykurovania podľa nastaveného režimu.</p>";"<h2>Smart termostaty a hlavice – výber a použitie</h2><p>Overte typ vykurovacej sústavy, spôsob pripojenia a potrebu centrálnej jednotky. Pri radiátorovej hlavici skontrolujte závit ventilu a dostupné adaptéry.</p><p>Ďalší výber ponúka <a href=""/smart-domacnost/"">Smart domácnosť – zariadenia</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/smart-zasuvky/"">Smart zásuvky</a>.</p>";"Smart termostaty a hlavice | PremiumStore.sk";"Smart termostaty a hlavice slúžia na riadenie vykurovania podľa nastaveného režimu."
"smart-domacnost";"0";"1";"4";"1";"Smart zásuvky";"Smart zásuvky";"smart-zasuvky";"<p>Smart zásuvky umožňujú ovládať napájanie pripojeného spotrebiča.</p>";"<h2>Smart zásuvky – výber a použitie</h2><p>Skontrolujte zásuvkový štandard, maximálne zaťaženie a komunikačný protokol. Meranie spotreby či podpora konkrétneho hlasového asistenta sú vlastnosti vybraných modelov.</p><p>Ďalší výber ponúka <a href=""/smart-domacnost/"">Smart domácnosť – zariadenia</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/smart-termostaty-a-hlavice/"">Smart termostaty a hlavice</a>.</p>";"Smart zásuvky | PremiumStore.sk";"Smart zásuvky umožňujú ovládať napájanie pripojeného spotrebiča."
"sietove-prvky-2";"0";"1";"1";"1";"Sieťové switche";"Sieťové switche";"sietove-switche";"<p>Sieťové switche rozširujú počet káblových pripojení v lokálnej sieti.</p>";"<h2>Sieťové switche – výber a použitie</h2><p>Porovnajte počet portov, ich rýchlosť a potrebu správy siete. Pri PoE variante skontrolujte štandard a celkový výkon pre napájané zariadenia.</p><p>Ďalší výber ponúka <a href=""/sietove-prvky-2/"">WiFi routery a sieťové karty</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/wifi-routery/"">WiFi routery</a>.</p>";"Sieťové switche | PremiumStore.sk";"Sieťové switche rozširujú počet káblových pripojení v lokálnej sieti."
"sietove-prvky-2";"0";"1";"2";"1";"WiFi routery";"WiFi routery";"wifi-routery";"<p>WiFi routery zabezpečujú pripojenie zariadení k domácej alebo kancelárskej sieti.</p>";"<h2>WiFi routery – výber a použitie</h2><p>Vyberajte podľa spôsobu internetového pripojenia, podporovaných pásiem a rýchlosti portov. Pri väčšom priestore porovnajte možnosť rozšírenia pomocou mesh systému.</p><p>Ďalší výber ponúka <a href=""/sietove-prvky-2/"">WiFi routery a sieťové karty</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/sietove-switche/"">Sieťové switche</a>.</p>";"WiFi routery | PremiumStore.sk";"WiFi routery zabezpečujú pripojenie zariadení k domácej alebo kancelárskej sieti."
"podium--diskoteka--dj";"0";"1";"1";"1";"DI boxy a audio izolátory";"DI boxy a audio izolátory";"di-boxy-a-audio-izolatory";"<p>DI boxy a audio izolátory slúžia na vhodné prepojenie vybraných zvukových signálov.</p>";"<h2>DI boxy a audio izolátory – výber a použitie</h2><p>Vyberajte podľa vstupného signálu, konektorov a počtu kanálov. Aktívne a pasívne riešenia majú odlišné požiadavky na napájanie a použitie.</p><p>Ďalší výber ponúka <a href=""/podium--diskoteka--dj/"">Pódium, diskotéka, DJ</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/mikrofonove-a-reproduktorove-stojany/"">Mikrofónové a reproduktorové stojany</a>.</p>";"DI boxy a audio izolátory | PremiumStore.sk";"DI boxy a audio izolátory slúžia na vhodné prepojenie vybraných zvukových signálov."
"podium--diskoteka--dj";"0";"1";"2";"1";"Mikrofónové a reproduktorové stojany";"Mikrofónové a reproduktorové stojany";"mikrofonove-a-reproduktorove-stojany";"<p>Mikrofónové a reproduktorové stojany umožňujú nastaviť polohu techniky na pódiu alebo v skúšobni.</p>";"<h2>Mikrofónové a reproduktorové stojany – výber a použitie</h2><p>Porovnajte nosnosť, nastaviteľnú výšku a kompatibilný závit alebo priemer. Pri prenášaní je dôležitá stabilita aj hmotnosť zostavy.</p><p>Ďalší výber ponúka <a href=""/podium--diskoteka--dj/"">Pódium, diskotéka, DJ</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/mixazne-pulty/"">Mixážne pulty</a>.</p>";"Mikrofónové a reproduktorové stojany | PremiumStore.sk";"Mikrofónové a reproduktorové stojany umožňujú nastaviť polohu techniky na pódiu alebo v skúšobni."
"podium--diskoteka--dj";"0";"1";"3";"1";"Mixážne pulty";"Mixážne pulty";"mixazne-pulty";"<p>Mixážne pulty spájajú a nastavujú zvuk z viacerých vstupov.</p>";"<h2>Mixážne pulty – výber a použitie</h2><p>Porovnajte počet mikrofónových a linkových vstupov, výstupy a možnosti routovania. USB, efekty alebo fantómové napájanie overte pri konkrétnom modeli.</p><p>Ďalší výber ponúka <a href=""/podium--diskoteka--dj/"">Pódium, diskotéka, DJ</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/mikrofonove-a-reproduktorove-stojany/"">Mikrofónové a reproduktorové stojany</a>.</p>";"Mixážne pulty | PremiumStore.sk";"Mixážne pulty spájajú a nastavujú zvuk z viacerých vstupov."
"starostlivost-o-vlasy";"0";"1";"1";"1";"Fény a teplovzdušné kefy";"Fény a teplovzdušné kefy";"feny-a-teplovzdusne-kefy";"<p>Fény a teplovzdušné kefy kombinujú rôzne spôsoby sušenia a tepelnej úpravy vlasov.</p>";"<h2>Fény a teplovzdušné kefy – výber a použitie</h2><p>Porovnajte nastavenie teploty a prúdenia, hmotnosť a nadstavce. Difuzér, koncentrátor alebo ionizácia sú súčasťou len vybraných modelov.</p><p>Ďalší výber ponúka <a href=""/starostlivost-o-vlasy/"">Starostlivosť o vlasy</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/kulmy-na-vlasy/"">Kulmy na vlasy</a>.</p>";"Fény a teplovzdušné kefy | PremiumStore.sk";"Fény a teplovzdušné kefy kombinujú rôzne spôsoby sušenia a tepelnej úpravy vlasov."
"starostlivost-o-vlasy";"0";"1";"2";"1";"Kulmy na vlasy";"Kulmy na vlasy";"kulmy-na-vlasy";"<p>Kulmy na vlasy sú určené na vytváranie vĺn a kučier.</p>";"<h2>Kulmy na vlasy – výber a použitie</h2><p>Priemer pracovnej časti ovplyvňuje tvar kučier. Porovnajte rozsah teplôt, povrch a spôsob ovládania; teplotu prispôsobte vlasom.</p><p>Ďalší výber ponúka <a href=""/starostlivost-o-vlasy/"">Starostlivosť o vlasy</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/feny-a-teplovzdusne-kefy/"">Fény a teplovzdušné kefy</a>.</p>";"Kulmy na vlasy | PremiumStore.sk";"Kulmy na vlasy sú určené na vytváranie vĺn a kučier."
"starostlivost-o-vlasy";"0";"1";"3";"1";"Žehličky na vlasy";"Žehličky na vlasy";"zehlicky-na-vlasy";"<p>Žehličky a krepovače na vlasy umožňujú meniť tvar účesu teplom.</p>";"<h2>Žehličky na vlasy – výber a použitie</h2><p>Vyberajte podľa šírky doštičiek, regulácie teploty a určenia prístroja. Nadstavce a funkcie overte pri konkrétnom modeli.</p><p>Ďalší výber ponúka <a href=""/starostlivost-o-vlasy/"">Starostlivosť o vlasy</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/feny-a-teplovzdusne-kefy/"">Fény a teplovzdušné kefy</a>.</p>";"Žehličky na vlasy | PremiumStore.sk";"Žehličky a krepovače na vlasy umožňujú meniť tvar účesu teplom."
"starostlivost-o-zuby";"0";"1";"1";"1";"Elektrické zubné kefky";"Elektrické zubné kefky";"elektricke-zubne-kefky";"<p>Elektrické zubné kefky ponúkajú rôzne režimy a spôsoby pohybu čistiacej hlavice.</p>";"<h2>Elektrické zubné kefky – výber a použitie</h2><p>Porovnajte konštrukciu, dostupnosť náhradných hlavíc a spôsob nabíjania. Výbava, časovač či snímač tlaku závisia od konkrétneho modelu.</p><p>Ďalší výber ponúka <a href=""/starostlivost-o-zuby/"">Starostlivosť o zuby</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/nahradne-hlavice-na-zubne-kefky/"">Náhradné hlavice na zubné kefky</a>.</p>";"Elektrické zubné kefky | PremiumStore.sk";"Elektrické zubné kefky ponúkajú rôzne režimy a spôsoby pohybu čistiacej hlavice."
"starostlivost-o-zuby";"0";"1";"2";"1";"Náhradné hlavice na zubné kefky";"Náhradné hlavice na zubné kefky";"nahradne-hlavice-na-zubne-kefky";"<p>Náhradné hlavice na zubné kefky umožňujú pravidelnú výmenu čistiacej časti.</p>";"<h2>Náhradné hlavice na zubné kefky – výber a použitie</h2><p>Overte presnú produktovú sériu kefky, typ hlavice a počet kusov v balení. Zhodná značka nemusí znamenať kompatibilitu medzi rôznymi radmi.</p><p>Ďalší výber ponúka <a href=""/starostlivost-o-zuby/"">Starostlivosť o zuby</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/elektricke-zubne-kefky/"">Elektrické zubné kefky</a>.</p>";"Náhradné hlavice na zubné kefky | PremiumStore.sk";"Náhradné hlavice na zubné kefky umožňujú pravidelnú výmenu čistiacej časti."
"starostlivost-o-zuby";"0";"1";"3";"1";"Ústne sprchy";"Ústne sprchy";"ustne-sprchy";"<p>Ústne sprchy dopĺňajú každodennú ústnu hygienu prúdom vody.</p>";"<h2>Ústne sprchy – výber a použitie</h2><p>Porovnajte veľkosť nádržky, rozsah tlaku, napájanie a dostupné trysky. Spôsob používania prispôsobte odporúčaniam výrobcu.</p><p>Ďalší výber ponúka <a href=""/starostlivost-o-zuby/"">Starostlivosť o zuby</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/nahradne-hlavice-na-zubne-kefky/"">Náhradné hlavice na zubné kefky</a>.</p>";"Ústne sprchy | PremiumStore.sk";"Ústne sprchy dopĺňajú každodennú ústnu hygienu prúdom vody."
