new_path;depth;product_count;merged_from_old_paths_count;old_paths
Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;2;260;7;"Elektroinštalačný materiál > Osvetlenie > LED Žiarovky; Elektroinštalačný materiál > Osvetlenie > LED Žiarovky > E14; Elektroinštalačný materiál > Osvetlenie > LED Žiarovky > E14 závit; Elektroinštalačný materiál > Osvetlenie > LED Žiarovky > E27; Elektroinštalačný materiál > Osvetlenie > LED Žiarovky > E27 závit; Elektroinštalačný materiál > Osvetlenie > LED Žiarovky > GU10; Elektroinštalačný materiál > Osvetlenie > LED Žiarovky > GU10 patice"
Náradie a dielňa > Meracie prístroje;1;253;1;
Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny;2;253;11;"Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny; Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny > bezdrôtové > Príslušenstvo k bezdrôtovým mikrofónom; Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny > bezdrôtové > frekvencie povolené v SR; Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny > bezdrôtové > frekvencie vyžadujúce povolenie na prevádzku v SR; Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny > dynamické; Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny > elektretové/veľkomembránové; Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny > husí krk; Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny > na stôl; Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny > náhlavové; Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny > pre hudobné nástroje; Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny > príslušenstvo"
Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie a rozbočovacie svorky;2;251;10;"Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie a rozbočovacie svorky > Přístrojové prepojovacie svorky; Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie a rozbočovacie svorky > Přístrojové prepojovacie svorky > Tvar konektoru ""jazýček/kolík""; Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie a rozbočovacie svorky > Rozbočovacie svorky > Typová rad HLAK typ - C; Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie a rozbočovacie svorky > Rozbočovacie svorky > Typová rad HLAK typ - M2; Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie a rozbočovacie svorky > Stoupací svorky; Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie a rozbočovacie svorky > Stoupací svorky > Stoupací svorky (stupačkové) kryté; Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie a rozbočovacie svorky > Stoupací svorky > Stoupací svorky (stupačkové) nekryté; Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie a rozbočovacie svorky > Třmenové svorky; Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie a rozbočovacie svorky > Univerzálne svorky > Typová rad RKA; Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie a rozbočovacie svorky > Univerzálne svorky > Typová rad UK"
Kreatívne technológie > 3D tlač > Vlákna;2;229;1;
TV, audio a video > Audio technika > Reproduktory;2;226;5;"TV, audio a video > Audio technika > Reproduktory; TV, audio a video > Audio technika > Reproduktory > Aktívne reproduktory; TV, audio a video > Audio technika > Reproduktory > Počítačové reproduktory; TV, audio a video > Audio technika > Reproduktory > Prenosné Bluetooth reproduktory; TV, audio a video > Audio technika > Reproduktory > Sady reproduktorov"
TV, audio a video > Diaľkové ovládače > Ovládače k DVB-T2;2;207;12;"TV, audio a video > Diaľkové ovládače > Ovládače k DVB-T2; TV, audio a video > Diaľkové ovládače > Ovládače k DVB-T2 > Alma; TV, audio a video > Diaľkové ovládače > Ovládače k DVB-T2 > Amiko; TV, audio a video > Diaľkové ovládače > Ovládače k DVB-T2 > Emos; TV, audio a video > Diaľkové ovládače > Ovládače k DVB-T2 > GoGEN; TV, audio a video > Diaľkové ovládače > Ovládače k DVB-T2 > Mascom; TV, audio a video > Diaľkové ovládače > Ovládače k DVB-T2 > Opticum; TV, audio a video > Diaľkové ovládače > Ovládače k DVB-T2 > Sencor; TV, audio a video > Diaľkové ovládače > Ovládače k DVB-T2 > Strong; TV, audio a video > Diaľkové ovládače > Ovládače k DVB-T2 > Telesystem; TV, audio a video > Diaľkové ovládače > Ovládače k DVB-T2 > Tesla; TV, audio a video > Diaľkové ovládače > Ovládače k DVB-T2 > Wiwa"
Foto a príslušenstvo > Príslušenstvo > Pre športové kamery;2;199;1;
Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody;2;181;10;"Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody > Dĺžka 1,5m; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody > Dĺžka 10m; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody > Dĺžka 20m; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody > Dĺžka 25m; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody > Dĺžka 2m; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody > Dĺžka 3m; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody > Dĺžka 50m; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody > Dĺžka 5m; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody > Dĺžka 7m"
Elektroinštalačný materiál > Ventilačné technika > Domové ventilátory;2;180;12;"Elektroinštalačný materiál > Ventilačné technika > Domové ventilátory; Elektroinštalačný materiál > Ventilačné technika > Domové ventilátory > Ventilátory do koupelny/WC - s doběhem (časovač); Elektroinštalačný materiál > Ventilačné technika > Domové ventilátory > Ventilátory do koupelny/WC - základní; Elektroinštalačný materiál > Ventilačné technika > Domové ventilátory > Ventilátory do koupelny/WC - základní > Pre průměr potrubie 100 mm; Elektroinštalačný materiál > Ventilačné technika > Domové ventilátory > Ventilátory podľa typové rady DOSPEL; Elektroinštalačný materiál > Ventilačné technika > Domové ventilátory > Ventilátory podľa typové rady DOSPEL > Ventilátory - typ POLO; Elektroinštalačný materiál > Ventilačné technika > Domové ventilátory > Ventilátory podľa typové rady VENTS; Elektroinštalačný materiál > Ventilačné technika > Domové ventilátory > Ventilátory podľa typové rady VENTS > Ventilátory - typ LD; Elektroinštalačný materiál > Ventilačné technika > Domové ventilátory > Ventilátory podľa typové rady VENTS > Ventilátory - typ M; Elektroinštalačný materiál > Ventilačné technika > Domové ventilátory > Ventilátory podľa typové rady VENTS > Ventilátory - typ MA; Elektroinštalačný materiál > Ventilačné technika > Domové ventilátory > Ventilátory podľa typové rady VENTS > Ventilátory - typ S; Elektroinštalačný materiál > Ventilačné technika > Domové ventilátory > Ventilátory podľa typové rady VENTS > Ventilátory - typ VKO1"
Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Reproduktory;2;179;10;"Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Reproduktory; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Reproduktory > nástenné; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Reproduktory > nástenné 100V; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Reproduktory > podhľadové; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Reproduktory > podhľadové 100V; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Reproduktory > príslušenstvo; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Reproduktory > reproduktorové stĺpiky 100V; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Reproduktory > tlakové; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Reproduktory > tlakové 100V; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Reproduktory > závesné"
Mobily, smart hodinky a tablety > Nositeľná elektronika > Smart hodinky;2;177;1;
Elektroinštalačný materiál > Osvetlenie > Vianočné dekorácie;2;172;1;
Mobily, smart hodinky a tablety > Smart telefóny;1;164;1;
Elektroinštalačný materiál > Osvetlenie > Svietidlá;2;159;6;"Elektroinštalačný materiál > Osvetlenie > Svietidlá; Elektroinštalačný materiál > Osvetlenie > Svietidlá > Nabíjacie; Elektroinštalačný materiál > Osvetlenie > Svietidlá > Ručné; Elektroinštalačný materiál > Osvetlenie > Svietidlá > Vnútorné osvetlenie; Elektroinštalačný materiál > Osvetlenie > Svietidlá > Čelovky; Elektroinštalačný materiál > Osvetlenie > Svietidlá > Čelové"
Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače samostatné;2;159;10;"Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače samostatné; Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače samostatné > Rozvodnice Acqua IP65; Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače samostatné > Rozvodnice ELEKTRO-PLAST; Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače samostatné > Rozvodnice FlatBOX IP65; Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače samostatné > Rozvodnice NUOVA IP40 (bytové); Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače samostatné > Rozvodnice TSM; Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače samostatné > Skrine AcquaCOMBI IP65; Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače samostatné > Skrine AcquaCOMBI IP65 s otvory; Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače samostatné > Skrine MAGNA IP65; Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače samostatné > Skrine STONE IP55 - IP66"
Profesionálna audio technika > Káble, konektory a redukcie > Káble;2;158;9;"Profesionálna audio technika > Káble, konektory a redukcie > Káble; Profesionálna audio technika > Káble, konektory a redukcie > Káble > 6,3mm; Profesionálna audio technika > Káble, konektory a redukcie > Káble > RCA; Profesionálna audio technika > Káble, konektory a redukcie > Káble > XLR; Profesionálna audio technika > Káble, konektory a redukcie > Káble > iné; Profesionálna audio technika > Káble, konektory a redukcie > Káble > mikrofónové / audio na kotúči; Profesionálna audio technika > Káble, konektory a redukcie > Káble > napájacie; Profesionálna audio technika > Káble, konektory a redukcie > Káble > reproduktorové; Profesionálna audio technika > Káble, konektory a redukcie > Káble > reproduktorové na kotúči"
Šport, hračky a voľný čas > Posilňovanie a fitness > Pomôcky na cvičenie;2;157;8;"Šport, hračky a voľný čas > Posilňovanie a fitness > Pomôcky na cvičenie; Šport, hračky a voľný čas > Posilňovanie a fitness > Pomôcky na cvičenie > Gumy a pásy na cvičenie; Šport, hračky a voľný čas > Posilňovanie a fitness > Pomôcky na cvičenie > Lopty na cvičenie; Šport, hračky a voľný čas > Posilňovanie a fitness > Pomôcky na cvičenie > Pomôcky na cvičenie břicha; Šport, hračky a voľný čas > Posilňovanie a fitness > Pomôcky na cvičenie > Pomôcky na cvičenie doma; Šport, hračky a voľný čas > Posilňovanie a fitness > Pomôcky na cvičenie > Pomôcky na jógu; Šport, hračky a voľný čas > Posilňovanie a fitness > Pomôcky na cvičenie > Pomôcky na pilates; Šport, hračky a voľný čas > Posilňovanie a fitness > Pomôcky na cvičenie > Valce, kolieska a masážne lopty"
Auto-moto > Vybavenie auta > Autožiarovky;2;155;7;"Auto-moto > Vybavenie auta > Autožiarovky; Auto-moto > Vybavenie auta > Autožiarovky > 12V; Auto-moto > Vybavenie auta > Autožiarovky > 12V White Laser; Auto-moto > Vybavenie auta > Autožiarovky > 12V halogenové; Auto-moto > Vybavenie auta > Autožiarovky > LED žiarovky; Auto-moto > Vybavenie auta > Autožiarovky > SMD LED žiarovky; Auto-moto > Vybavenie auta > Autožiarovky > Sady žárovek"
TV, audio a video > Televízory;1;153;1;
Bezpečnosť a smart domácnosť > Kamerové systémy > PRÍSLUŠENSTVO;2;152;7;"Bezpečnosť a smart domácnosť > Kamerové systémy > PRÍSLUŠENSTVO; Bezpečnosť a smart domácnosť > Kamerové systémy > PRÍSLUŠENSTVO > Interné pevné disky; Bezpečnosť a smart domácnosť > Kamerové systémy > PRÍSLUŠENSTVO > Konektory; Bezpečnosť a smart domácnosť > Kamerové systémy > PRÍSLUŠENSTVO > Káble; Bezpečnosť a smart domácnosť > Kamerové systémy > PRÍSLUŠENSTVO > Montážne skrine a racky; Bezpečnosť a smart domácnosť > Kamerové systémy > PRÍSLUŠENSTVO > Napájacie zdroje; Bezpečnosť a smart domácnosť > Kamerové systémy > PRÍSLUŠENSTVO > PoE switche"
Náradie a dielňa > Elektronické súčiastky > Arduino a moduly;2;149;5;"Náradie a dielňa > Elektronické súčiastky > Arduino a moduly; Náradie a dielňa > Elektronické súčiastky > Arduino a moduly > Programovatelné moduly Arduino; Náradie a dielňa > Elektronické súčiastky > Arduino a moduly > Príslušenstvo Arduino; Náradie a dielňa > Elektronické súčiastky > Arduino a moduly > Snímače a prevodníky Arduino; Náradie a dielňa > Elektronické súčiastky > Arduino a moduly > Výstupní jednotky Arduino"
Elektroinštalačný materiál > Osvetlenie > Vianocne osvetlenie;2;138;4;"Elektroinštalačný materiál > Osvetlenie > Vianocne osvetlenie; Elektroinštalačný materiál > Osvetlenie > Vianocne osvetlenie > Vianočné LED dekorácie; Elektroinštalačný materiál > Osvetlenie > Vianocne osvetlenie > Vianočné reťaze > Batériové; Elektroinštalačný materiál > Osvetlenie > Vianocne osvetlenie > Vianočné reťaze > Sieťové 230V"
Mobily, smart hodinky a tablety > Príslušenstvo > Tvrdené sklá pre mobilné telefóny;2;135;1;
Elektroinštalačný materiál > Osvetlenie > LED osvetlenie;2;135;9;"Elektroinštalačný materiál > Osvetlenie > LED osvetlenie; Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Interiérové osvetlenie; Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Kuchynské osvetlenie; Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Nočné a dekoratívne svetielka; Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Technické osvetlenie; Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Vonkajšie osvetlenie; Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Vonkajšie osvetlenie > Fasádne a záhradné osvetlenie; Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Vonkajšie osvetlenie > Prisadené osvetlenie; Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Vonkajšie osvetlenie > Solárne osvetlenie"
Náradie a dielňa > MERACIE TECHNIKA > Ampérmetre a voltmetre;2;134;1;
Profesionálna audio technika > Reproduktory > Príslušenstvo k reproduktorom;2;131;7;"Profesionálna audio technika > Reproduktory > Príslušenstvo k reproduktorom; Profesionálna audio technika > Reproduktory > Príslušenstvo k reproduktorom > cievky; Profesionálna audio technika > Reproduktory > Príslušenstvo k reproduktorom > iné; Profesionálna audio technika > Reproduktory > Príslušenstvo k reproduktorom > kondenzátory; Profesionálna audio technika > Reproduktory > Príslušenstvo k reproduktorom > nožičky a hroty; Profesionálna audio technika > Reproduktory > Príslušenstvo k reproduktorom > rezistory; Profesionálna audio technika > Reproduktory > Príslušenstvo k reproduktorom > terminály"
Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Priemyselné vidlica a zásuvky;2;130;5;"Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Priemyselné vidlica a zásuvky > Priemyselné přívodky; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Priemyselné vidlica a zásuvky > Priemyselné spojky; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Priemyselné vidlica a zásuvky > Priemyselné vidlica; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Priemyselné vidlica a zásuvky > Priemyselné zásuvky > Nástenné priemyselné zásuvky; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Priemyselné vidlica a zásuvky > Priemyselné zásuvky > Vstavané priemyselné zásuvky"
Bezpečnosť a smart domácnosť > IP kamery;1;129;1;
Malé spotrebiče > Vysávače > Robotické vysávače;2;125;1;Domáce spotrebiče > Malé spotrebiče > Vysávače > Robotické vysávače
Elektroinštalačný materiál > Ostatné > 230V;2;123;6;"Elektroinštalačný materiál > Ostatné > 230V; Elektroinštalačný materiál > Ostatné > 230V > Flexo šnúry; Elektroinštalačný materiál > Ostatné > 230V > Koncovky; Elektroinštalačný materiál > Ostatné > 230V > Rozbočky; Elektroinštalačný materiál > Ostatné > 230V > Viacnásobné zásuvky; Elektroinštalačný materiál > Ostatné > 230V > Vypínače a zásuvky"
Počítače a notebooky > Tlačiarne a skenery > Atramenty;2;122;1;
Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače;2;122;7;"Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače; Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Elektrické sekáčiky; Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Mixéry; Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Mixéry > Stolové mixéry; Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Mixéry > Tyčové mixéry; Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Zmrzlinovače a jogurtovače; Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Šľahače"
Malé spotrebiče > Kuchynské nádobie;1;122;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské nádobie
Šport, hračky a voľný čas > Bojové športy > Boxerské rukavice;2;116;1;
