id;parentId;parentUrl;expandInMenu;visible;priority;access;title;linkText;url;topDescription;bottomDescription;metaTitle;metaDescription;
"40212";"1";;"0";"1";"15";"1";"Šport, hračky a voľný čas";"Šport, hračky a voľný čas";"sport--hracky-a-volny-cas";"<p>Fitness pomôcky, cyklistika, hračky pre deti aj vybavenie na outdoorové dobrodružstvá – pre aktívny voľný čas celej rodiny.</p>";"";"Šport, hračky a voľný čas | PremiumStore.sk";"Fitness pomôcky, cyklistika, hračky pre deti aj vybavenie na outdoor. Šport a voľný čas naplno na PremiumStore.sk.";
"39441";"1";;"0";"1";"16";"1";"Auto-moto";"Auto-moto";"auto-moto";"<p>Od klasických autožiaroviek a autorádií, cez parkovacie kamery, až po nabíjacie riešenia pre elektromobily. Nájdete tu aj špecializované príslušenstvo pre motocykle a karavany, ktoré v bežnom obchode s elektronikou zvyčajne nezoženiete.</p>";"";"Auto-moto | PremiumStore.sk";"Autožiarovky, autorádiá, nabíjačky pre elektromobily a príslušenstvo pre motocykle aj karavany. Auto-moto sortiment na PremiumStore.sk.";
"46347";"1";;"0";"1";"17";"1";"Kreatívne technológie";"Kreatívne technológie";"kreativne-technologie";"<p>3D tlačiarne, laserové gravírovačky a príslušenstvo pre tvorivé projekty – od prvého výtlačku doma až po drobnú sériovú výrobu v malej dielni.</p>";"";"Kreatívne technológie | PremiumStore.sk";"3D tlačiarne, laserové gravírovačky a príslušenstvo pre tvorivé projekty doma aj v dielni. PremiumStore.sk.";
"39426";"39423";"domace-spotrebice";"0";"1";"";"1";"Veľké spotrebiče";"Veľké spotrebiče";"velke-spotrebice";"";"";"Veľké spotrebiče | PremiumStore.sk";"Veľké spotrebiče v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"39432";"39423";"domace-spotrebice";"0";"1";"";"1";"Malé spotrebiče";"Malé spotrebiče";"male-spotrebice";"";"";"Malé spotrebiče | PremiumStore.sk";"Malé spotrebiče: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"39546";"39423";"domace-spotrebice";"0";"1";"";"1";"Vstavané spotrebiče";"Vstavané spotrebiče";"vstavane-spotrebice";"";"";"Vstavané spotrebiče | PremiumStore.sk";"Vstavané spotrebiče – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"39429";"39426";"velke-spotrebice";"0";"1";"";"1";"Mikrovlnné rúry";"Mikrovlnné rúry";"mikrovlnne-rury";"";"";"Mikrovlnné rúry | PremiumStore.sk";"Mikrovlnné rúry skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"39774";"39426";"velke-spotrebice";"0";"1";"";"1";"Práčky";"Práčky";"pracky";"";"";"Práčky | PremiumStore.sk";"Práčky – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"39801";"39426";"velke-spotrebice";"0";"1";"";"1";"Sporáky a rúry";"Sporáky a rúry";"sporaky-a-rury";"";"";"Sporáky a rúry | PremiumStore.sk";"Sporáky a rúry – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"39879";"39426";"velke-spotrebice";"0";"1";"";"1";"Chladničky";"Chladničky";"chladnicky";"";"";"Chladničky | PremiumStore.sk";"Chladničky: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"39939";"39426";"velke-spotrebice";"0";"1";"";"1";"Mrazničky";"Mrazničky";"mraznicky";"";"";"Mrazničky | PremiumStore.sk";"Mrazničky – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"40014";"39426";"velke-spotrebice";"0";"1";"";"1";"Vinotéky a vitríny";"Vinotéky a vitríny";"vinoteky-a-vitriny";"";"";"Vinotéky a vitríny | PremiumStore.sk";"Vinotéky a vitríny: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"40248";"39426";"velke-spotrebice";"0";"1";"";"1";"Umývačky riadu";"Umývačky riadu";"umyvacky-riadu";"";"";"Umývačky riadu | PremiumStore.sk";"Umývačky riadu na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"40533";"39426";"velke-spotrebice";"0";"1";"";"1";"Sušičky";"Sušičky";"susicky";"";"";"Sušičky | PremiumStore.sk";"Sušičky – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"40827";"39426";"velke-spotrebice";"0";"1";"";"1";"Vykurovanie a ohrev vody";"Vykurovanie a ohrev vody";"vykurovanie-a-ohrev-vody";"";"";"Vykurovanie a ohrev vody | PremiumStore.sk";"Vykurovanie a ohrev vody – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"39435";"39432";"male-spotrebice";"0";"1";"";"1";"Príprava nápojov";"Príprava nápojov";"priprava-napojov";"";"";"Príprava nápojov | PremiumStore.sk";"Príprava nápojov v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"39483";"39432";"male-spotrebice";"0";"1";"";"1";"Príslušenstvo k malým spotrebičom";"Príslušenstvo k malým spotrebičom";"prislusenstvo-k-malym-spotrebicom";"";"";"Príslušenstvo k malým spotrebičom | PremiumStore.sk";"Príslušenstvo k malým spotrebičom skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"39489";"39432";"male-spotrebice";"0";"1";"";"1";"Kávovary a espressá";"Kávovary a espressá";"kavovary-a-espressa";"";"";"Kávovary a espressá | PremiumStore.sk";"Kávovary a espressá v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"39495";"39432";"male-spotrebice";"0";"1";"";"1";"Sendvičovače, hriankovače, vaflovače";"Sendvičovače, hriankovače, vaflovače";"sendvicovace--hriankovace--vaflovace";"";"";"Sendvičovače, hriankovače, vaflovače | PremiumStore.sk";"Sendvičovače, hriankovače, vaflovače – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"39567";"39432";"male-spotrebice";"0";"1";"";"1";"Fritézy a hrnce";"Fritézy a hrnce";"fritezy-a-hrnce";"";"";"Fritézy a hrnce | PremiumStore.sk";"Fritézy a hrnce skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"39576";"39432";"male-spotrebice";"0";"1";"";"1";"Vákuovačky a zváračky fólií";"Vákuovačky a zváračky fólií";"vakuovacky-a-zvaracky-folii";"";"";"Vákuovačky a zváračky fólií | PremiumStore.sk";"Vákuovačky a zváračky fólií skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"39597";"39432";"male-spotrebice";"0";"1";"";"1";"Kuchynské roboty a krájače";"Kuchynské roboty a krájače";"kuchynske-roboty-a-krajace";"";"";"Kuchynské roboty a krájače | PremiumStore.sk";"Kuchynské roboty a krájače – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"39630";"39432";"male-spotrebice";"0";"1";"";"1";"Nádobie";"Nádobie";"nadobie";"";"";"Nádobie | PremiumStore.sk";"Nádobie – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"39639";"39432";"male-spotrebice";"0";"1";"";"1";"Žehličky";"Žehličky";"zehlicky";"";"";"Žehličky | PremiumStore.sk";"Žehličky – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"39651";"39432";"male-spotrebice";"0";"1";"";"1";"Grily, pekárne, variče";"Grily, pekárne, variče";"grily--pekarne--varice";"";"";"Grily, pekárne, variče | PremiumStore.sk";"Grily, pekárne, variče – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"39684";"39432";"male-spotrebice";"0";"1";"";"1";"Vysávače";"Vysávače";"vysavace";"";"";"Malé spotrebiče – Vysávače | PremiumStore.sk";"Malé spotrebiče – Vysávače v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"39735";"39432";"male-spotrebice";"0";"1";"";"1";"Upratovacie pomôcky";"Upratovacie pomôcky";"upratovacie-pomocky";"";"";"Upratovacie pomôcky | PremiumStore.sk";"Upratovacie pomôcky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"39819";"39432";"male-spotrebice";"0";"1";"";"1";"Kuchynské potreby";"Kuchynské potreby";"kuchynske-potreby";"";"";"Kuchynské potreby | PremiumStore.sk";"Kuchynské potreby – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"39828";"39432";"male-spotrebice";"0";"1";"";"1";"Na párty a oslavy";"Na párty a oslavy";"na-party-a-oslavy";"";"";"Na párty a oslavy | PremiumStore.sk";"Na párty a oslavy – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"40032";"39432";"male-spotrebice";"0";"1";"";"1";"Vzduchotechnika";"Vzduchotechnika";"vzduchotechnika";"";"";"Vzduchotechnika | PremiumStore.sk";"Vzduchotechnika: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"40104";"39432";"male-spotrebice";"0";"1";"";"1";"Potreby pre domácnosť";"Potreby pre domácnosť";"potreby-pre-domacnost";"";"";"Potreby pre domácnosť | PremiumStore.sk";"Potreby pre domácnosť – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"40179";"39432";"male-spotrebice";"0";"1";"";"1";"Sušičky potravín";"Sušičky potravín";"susicky-potravin";"";"";"Malé spotrebiče – Sušičky potravín | PremiumStore.sk";"Malé spotrebiče – Sušičky potravín: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"40305";"39432";"male-spotrebice";"0";"1";"";"1";"Meteostanice";"Meteostanice";"meteostanice";"";"";"Malé spotrebiče – Meteostanice | PremiumStore.sk";"Malé spotrebiče – Meteostanice – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"40494";"39432";"male-spotrebice";"0";"1";"";"1";"Ostatné domáce spotrebiče";"Ostatné domáce spotrebiče";"ostatne-domace-spotrebice";"";"";"Ostatné domáce spotrebiče | PremiumStore.sk";"Ostatné domáce spotrebiče: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"41301";"39432";"male-spotrebice";"0";"1";"";"1";"Ostatné spotrebiče";"Ostatné spotrebiče";"ostatne-spotrebice";"";"";"Ostatné spotrebiče | PremiumStore.sk";"Ostatné spotrebiče v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"46215";"39432";"male-spotrebice";"0";"1";"";"1";"Kuchynské príslušenstvo";"Kuchynské príslušenstvo";"kuchynske-prislusenstvo";"";"";"Kuchynské príslušenstvo | PremiumStore.sk";"Kuchynské príslušenstvo v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"46551";"39432";"male-spotrebice";"0";"0";"";"1";"Čistenie";"Čistenie";"cistenie";"";"";"Čistenie | PremiumStore.sk";"Čistenie: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"46593";"39432";"male-spotrebice";"0";"1";"";"1";"Teplomery";"Teplomery";"teplomery-3";"";"";"Malé spotrebiče – Teplomery | PremiumStore.sk";"Malé spotrebiče – Teplomery: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"46746";"39432";"male-spotrebice";"0";"1";"";"1";"Pre dieťa";"Pre dieťa";"pre-dieta";"";"";"Pre dieťa | PremiumStore.sk";"Pre dieťa v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"46755";"39432";"male-spotrebice";"0";"1";"";"1";"Mini chladničky";"Mini chladničky";"mini-chladnicky";"";"";"Mini chladničky | PremiumStore.sk";"Mini chladničky: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"47775";"39432";"male-spotrebice";"0";"1";"";"1";"Dezinfekčné lampy";"Dezinfekčné lampy";"dezinfekcne-lampy";"";"";"Dezinfekčné lampy | PremiumStore.sk";"Dezinfekčné lampy – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"47826";"39432";"male-spotrebice";"0";"1";"";"1";"Vybavenie domácnosti";"Vybavenie domácnosti";"vybavenie-domacnosti";"";"";"Vybavenie domácnosti | PremiumStore.sk";"Vybavenie domácnosti – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"47958";"39432";"male-spotrebice";"0";"1";"";"1";"Hodiny a budíky";"Hodiny a budíky";"hodiny-a-budiky-3";"";"";"Malé spotrebiče – Hodiny a budíky | PremiumStore.sk";"Malé spotrebiče – Hodiny a budíky v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"48117";"39432";"male-spotrebice";"0";"1";"";"1";"Płyty gazowe";"Płyty gazowe";"plyty-gazowe";"";"";"";"";
"48270";"39432";"male-spotrebice";"0";"1";"";"1";"Kuchynské nádobie";"Kuchynské nádobie";"kuchynske-nadobie";"";"";"";"";
"48411";"39432";"male-spotrebice";"0";"1";"";"1";"Čistiace prístroje a doplnky";"Čistiace prístroje a doplnky";"cistiace-pristroje-a-doplnky";"";"";"";"";
"39438";"39435";"priprava-napojov";"0";"1";"";"1";"Rýchlovarné kanvice";"Rýchlovarné kanvice";"rychlovarne-kanvice";"";"";"Príprava nápojov – Rýchlovarné kanvice | PremiumStore.sk";"Príprava nápojov – Rýchlovarné kanvice na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"39726";"39435";"priprava-napojov";"0";"1";"";"1";"Odšťavovače";"Odšťavovače";"odstavovace";"";"";"Odšťavovače | PremiumStore.sk";"Odšťavovače na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"39756";"39435";"priprava-napojov";"0";"1";"";"1";"Príslušenstvo pre filtračné kanvice";"Príslušenstvo pre filtračné kanvice";"prislusenstvo-pre-filtracne-kanvice";"";"";"Príslušenstvo pre filtračné kanvice | PremiumStore.sk";"Príslušenstvo pre filtračné kanvice v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"39780";"39435";"priprava-napojov";"0";"1";"";"1";"Filtračné kanvice";"Filtračné kanvice";"filtracne-kanvice";"";"";"Príprava nápojov – Filtračné kanvice | PremiumStore.sk";"Príprava nápojov – Filtračné kanvice skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"39945";"39435";"priprava-napojov";"0";"1";"";"1";"Výrobníky ľadu";"Výrobníky ľadu";"vyrobniky-ladu";"";"";"Príprava nápojov – Výrobníky ľadu | PremiumStore.sk";"Príprava nápojov – Výrobníky ľadu: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"39948";"39435";"priprava-napojov";"0";"1";"";"1";"Sirupy a fľaše pre výrobníky sódy";"Sirupy a fľaše pre výrobníky sódy";"sirupy-a-flase-pre-vyrobniky-sody";"";"";"Sirupy a fľaše pre výrobníky sódy | PremiumStore.sk";"Sirupy a fľaše pre výrobníky sódy v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"39981";"39435";"priprava-napojov";"0";"1";"";"1";"Výrobníky sódy";"Výrobníky sódy";"vyrobniky-sody";"";"";"Výrobníky sódy | PremiumStore.sk";"Výrobníky sódy – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"40707";"39435";"priprava-napojov";"0";"1";"";"1";"Čajová sitká";"Čajová sitká";"cajova-sitka";"";"";"Čajová sitká | PremiumStore.sk";"Čajová sitká skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"40797";"39435";"priprava-napojov";"0";"1";"";"1";"Lisy na citrusy";"Lisy na citrusy";"lisy-na-citrusy";"";"";"Lisy na citrusy | PremiumStore.sk";"Lisy na citrusy – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"48000";"39441";"auto-moto";"0";"1";"";"1";"Karavany a obytná autá";"Karavany a obytná autá";"karavany-a-obytna-auta";"";"";"";"";
"48018";"39441";"auto-moto";"0";"1";"";"1";"Prenosné lednice";"Prenosné lednice";"prenosne-lednice";"";"";"";"";
"48021";"39441";"auto-moto";"0";"1";"";"1";"Nosiče kol";"Nosiče kol";"nosice-kol";"";"";"";"";
"48066";"39441";"auto-moto";"0";"1";"";"1";"Vysielače do auta";"Vysielače do auta";"vysielace-do-auta-2";"";"";"";"";
"39444";"39441";"auto-moto";"0";"1";"1";"1";"Autorádiá";"Autorádiá";"autoradia";"";"";"Auto-moto – Autorádiá | PremiumStore.sk";"Auto-moto – Autorádiá skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"39969";"39441";"auto-moto";"0";"1";"2";"1";"GPS navigácie";"GPS navigácie";"gps-navigacie";"";"";"GPS navigácie | PremiumStore.sk";"GPS navigácie na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"46281";"39441";"auto-moto";"0";"1";"3";"1";"Bezdrôtové adaptéry CarPlay";"Bezdrôtové adaptéry CarPlay";"bezdrotove-adaptery-carplay";"";"";"Bezdrôtové adaptéry CarPlay | PremiumStore.sk";"Bezdrôtové adaptéry CarPlay: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"43725";"39441";"auto-moto";"0";"0";"4";"1";"Nosiče bicyklov";"Nosiče bicyklov";"nosice-bicyklov";"";"";"Nosiče bicyklov | PremiumStore.sk";"Nosiče bicyklov na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"40713";"39441";"auto-moto";"0";"1";"5";"1";"Elektrovozidlá";"Elektrovozidlá";"elektrovozidla";"";"";"Elektrovozidlá | PremiumStore.sk";"Elektrovozidlá skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"40905";"39441";"auto-moto";"0";"1";"6";"1";"Vybavenie auta";"Vybavenie autá";"vybavenie-auta";"";"";"Vybavenie autá | PremiumStore.sk";"Vybavenie autá skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"40941";"39441";"auto-moto";"0";"1";"7";"1";"Bezpečnosť";"Bezpečnosť";"bezpecnost";"";"";"Bezpečnosť | PremiumStore.sk";"Bezpečnosť v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"40980";"39441";"auto-moto";"0";"1";"8";"1";"Garáž, Dielňa, Servis";"Garáž, Dielňa, Servis";"garaz--dielna--servis";"";"";"Garáž, Dielňa, Servis | PremiumStore.sk";"Garáž, Dielňa, Servis skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"41163";"39441";"auto-moto";"0";"0";"9";"1";"Karavany a obytné autá";"Karavany a obytná autá";"karavany-a-obytne-auta";"";"";"Karavany a obytná autá | PremiumStore.sk";"Karavany a obytná autá skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"41247";"39441";"auto-moto";"0";"1";"10";"1";"Audio, Hi-Fi";"Audio, Hi-Fi";"audio--hi-fi";"";"";"Audio, Hi-Fi | PremiumStore.sk";"Audio, Hi-Fi: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"41307";"39441";"auto-moto";"0";"1";"11";"1";"Elektromobilita";"Elektromobilita";"elektromobilita";"";"";"Elektromobilita | PremiumStore.sk";"Elektromobilita v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"41715";"39441";"auto-moto";"0";"1";"12";"1";"Nabíjanie";"Nabíjanie";"nabijanie";"";"";"Nabíjanie | PremiumStore.sk";"Nabíjanie – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"41877";"39441";"auto-moto";"0";"1";"13";"1";"Autokozmetika, Chémia";"Autokozmetika, Chémia";"autokozmetika--chemia";"";"";"Autokozmetika, Chémia | PremiumStore.sk";"Autokozmetika, Chémia: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"41949";"39441";"auto-moto";"0";"1";"14";"1";"Kolesá";"Kolesá";"kolesa";"";"";"Kolesá | PremiumStore.sk";"Kolesá: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"42834";"39441";"auto-moto";"0";"0";"15";"1";"Prenosné chladničky";"Prenosné lednice";"prenosne-chladnicky";"";"";"Prenosné lednice | PremiumStore.sk";"Prenosné lednice – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"45777";"39441";"auto-moto";"0";"1";"16";"1";"Držiaky telefónov";"Držiaky telefónov";"drziaky-telefonov";"";"";"Auto-moto – Držiaky telefónov | PremiumStore.sk";"Auto-moto – Držiaky telefónov na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45918";"39441";"auto-moto";"0";"1";"17";"1";"Mini kompresory";"Mini kompresory";"mini-kompresory";"";"";"Mini kompresory | PremiumStore.sk";"Mini kompresory: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"46062";"39441";"auto-moto";"0";"0";"18";"1";"Ostatné";"Ostatné";"ostatne-17";"";"";"Auto-moto – Ostatné | PremiumStore.sk";"Auto-moto – Ostatné – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"46197";"39441";"auto-moto";"0";"1";"19";"1";"Štartovacie káble";"Štartovacie káble";"startovacie-kable-2";"";"";"Auto-moto – Štartovacie káble | PremiumStore.sk";"Auto-moto – Štartovacie káble v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"46233";"39441";"auto-moto";"0";"1";"20";"1";"Videorekordéry";"Videorekordéry";"videorekordery";"";"";"Auto-moto – Videorekordéry | PremiumStore.sk";"Auto-moto – Videorekordéry na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"46530";"39441";"auto-moto";"0";"1";"21";"1";"Diagnostické nástroje";"Diagnostické nástroje";"diagnosticke-nastroje";"";"";"Diagnostické nástroje | PremiumStore.sk";"Diagnostické nástroje na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
