"EAN","name","winner_supplier","winner_price","winner_stock","loser_supplier","loser_price","loser_stock"
"6935750525050","Monitorovacie zariadenia Uni-T A25D na meranie PM2,5","innpro","43.16","Skladom","atos","50.6","Skladom"
"6935750565896","UNI-T UT658DUAL tester zásuviek USB","innpro","9.34","Skladom","atos","12.81","Skladom"
"8594196538628","Sixtol Náhradní LED světlo do čepice","kb","3.33","6-20 ks skladom","atos","4.26","Skladom"
"4250593425667","CP-USC-DA24L2-0360 2.4Mpix venkovní dome kamera 4v1 s IR","atos","32.02","Skladom","atos","79.07","Skladom"
"8592718013769","Solight držiak DVB-T a internetové antény na stenu, dĺžka 250mm, I-úchyt","solight","5.03","Skladom","atos","10.11","Skladom"
"8594196539984","Sixtol Kšiltovka s LED fluoresc. Zelená","kb","5.59","1-2 ks skladom","atos","6.77","Skladom"
"8595689804244","TESLA AirCook Q60 XXL Pro","kb","60.19","3-5 ks skladom","atos","62.8","Skladom"
"8595697700026","Sixtol Kšiltovka s LED světlem , bílá","kb","5.59","3-5 ks skladom","atos","6.77","Skladom"
"8595689812058","Tesla MediaBox XG600","kb","61.4","6-20 ks skladom","atos","69.71","Skladom"
"8594196538611","Sixtol Sada nářadí HOME PINK 120 BAG","kb","20.79","1-2 ks skladom","atos","25.22","Skladom"
"6935750534328","Meradlo hrúbky povlaku Uni-T UT343A","innpro","51.53","Skladom","atos","57.3","Skladom"
"8595689813468","TESLA MyCare Multistyler fén AF05","kb","68.38","3-5 ks skladom","atos","71.53","Skladom"
"8595689805333","Tesla MediaBox XT850 DVB-T2","kb","60.03","3-5 ks skladom","atos","68.33","Skladom"
"6935750521038","Uni-T UT210C Mini digitálny klešťový multimeter","innpro","28.51","Skladom","atos","39.19","Skladom"
"6935750534038","Detektor úniku chladiva Uni-T UT336B","innpro","67.85","Skladom","atos","91.69","Skladom"
"6935750566756","Uni-T UT667-10m endoskop","innpro","37.49","Skladom","atos","45.69","Skladom"
"6935750550113","UNI-T UT501A tester izolačného odporu","innpro","42.39","Skladom","atos","54.91","Skladom"
"6935750566510","Uni-T UT665P endoskop","innpro","23.85","Skladom","atos","30.36","Skladom"
"6935750566534","Uni-T UT665P-10m endoskop","innpro","33.79","Skladom","atos","45.69","Skladom"
"8592920007839","Raver BAT. SOLAR NIMH HR6 2BL","kb","1.49","21 a viac ks skladom","atos","1.61","Skladom"
"6972185560454","Bezdrôtový adaptér Carlinkit TBOX-Plus 4+64 GB","innpro","91.31","Skladom","atos","113.51","Skladom"
"6935750566527","Uni-T UT665P-5m endoskop","innpro","27.58","Skladom","atos","33.43","Skladom"
"6935750566732","Uni-T UT667 endoskop","innpro","22.55","Skladom","atos","30.36","Skladom"
"6935750567500","Tester batérií Uni-T UT675A","innpro","73.41","Skladom","atos","79.43","Skladom"
"5999883026946","Amiko DVB-S2 přijímač Mini HD265 WIFI","kb","38.65","6-20 ks skladom","atos","40.53","Skladom"
"8595689806965","Tesla AirCook DualZone Q670 XXL","kb","87.73","6-20 ks skladom","atos","106.79","Skladom"
"6935750532508","Kontaktný teplomer Uni-T UT325","innpro","58.51","Skladom","atos","67.16","Skladom"
"6935750561201","Merač LCR Uni-T UT612","innpro","107.56","Skladom","atos","115.5","Skladom"
"8595689800086","Tesla TE-3000","kb","50.22","6-20 ks skladom","atos","55.18","Skladom"
