kod;nazov;light;light_stock;nekonecny;full_stock;dalsia_dodavka;dostupnost
024661;Inteligentný vypínač svetla WiFi Gosund SW9 Tuya;1;752;0;752;;Skladom
024907;Ovládač na osvetlenie Yeelight BLE Mesh;0;;0;0;;Na objednávku
025653;Multifunkčná baterka SuperFire G20, 470 lm, USB;1;168;0;168;;Skladom
032205;UV baterka Supfire S11-H, 365NM, USB;0;;0;0;;Na objednávku
025656;Svietidlo Superfire X60-T, 1500lm, USB;1;329;0;329;;Skladom
025657;Čelovka Superfire HL51 – 160 lm, micro-USB, 4 režimy, 300 m;1;177;0;177;;Skladom
025661;Prieskumná baterka Superfire M9-E – 900 lm, 473 m, 6000 mAh, 5 h prevádzky, powerbanka;1;211;0;211;;Skladom
025663;Svietidlo Superfire F5, 1100lm, USB;1;14;0;14;;Skladom
025651;Baterka Superfire C8-H – 1200 lm, USB, 250 m, 5 režimov;1;137;0;137;;Skladom
024942;Baseus Simple Wisdom Súprava dátového kábla USB na Lightning 2,4A (2 ks/sada）1,5 m biela;1;59;0;59;;Skladom
025088;Kábel USB pre Lightning Baseus Cafule, 2,4 A, 1 m (čierny);0;;0;0;;Na objednávku
025068;Baseus Super Si Quick Charger 1C 20W s káblom USB-C pre Lightning 1m (čierny);0;;0;0;;Na objednávku
025583;Inteligentná žiarovka Yeelight W1 GU10 (biela) 1 kus;1;528;0;528;;Skladom
025584;Inteligentná žiarovka Yeelight W1 GU10 (Biela);1;411;0;411;;Skladom
025929;Konektor mikrofónu Puluz 1,5 m jack 3,5 mm PU424;1;140;0;140;;Skladom
025927;Stolný ramenný stojan Puluz s 26cm LED Vlogging Ring PKT3090B;0;;0;0;;Na objednávku
025924;LED lampa Puluz pre fotoaparát 860 lúmenov;1;169;0;169;23.11.2026;Skladom
025923;Fotoateliér Puluz PU5025B LED 25cm;1;395;0;395;24.09.2026;Skladom
025922;Panoramatický fotografický stojan Puluz 360 15cm PU3048B;1;568;0;568;23.11.2026;Skladom
025918;Statívový držiak Puluz s 20 cm LED krúžkom Vlogging PKT3073B;1;54;0;54;;Skladom
026085;Digitálny decibelomer Habotest HT622B USB A/C;1;655;0;655;;Skladom
026083;Digitálny anemometer Habotest HT625A;0;;0;0;29.09.2026;Dostupné od 29.09.2026
026082;Digitálny anemometer Habotest HT625B, USB;1;78;0;78;29.09.2026;Skladom
026080;Mini detektor úniku plynu Habotest HT61;1;217;0;217;29.09.2026;Skladom
026079;Digitálny laserový pyrometer Habotest HT651D, merač vlhkosti;1;240;0;240;29.09.2026;Skladom
026078;Bezkontaktný laserový teplomer Habotest HT650B;1;63;0;63;29.09.2026;Skladom
026077;Detektor úniku plynu s alarmom Habotest HT601B;1;224;0;224;22.09.2026;Skladom
026076;Detektor plynu Habotest HT601A s alarmom;1;1777;0;1777;22.09.2026;Skladom
026075;Digitálny kliešťový meter Habotest HT200B;1;114;0;114;29.09.2026;Skladom
026074;Digitálny univerzálny multimeter True RMS Habotest HT112B;1;33;0;33;29.09.2026;Skladom
026072;Digitálny kliešťový merač Habotest HT206D True RMS , NCV, LPF;1;99;0;99;29.09.2026;Skladom
026071;Habotest HT206A Digitálny kliešťový merač;1;99;0;99;29.09.2026;Skladom
026070;Skúšačka zásuviek s digitálnym displejom Habotest HT106D;0;;0;0;29.09.2026;Dostupné od 29.09.2026
026069;Digitálny multimeter so svietidlom Habotest HT118A, True RMS, NCV;1;125;0;125;22.09.2026;Skladom
026068;Digitálny multimeter so svietidlom Habotest HT118C, True RMS, NCV, testovanie batérií;1;23;0;23;29.09.2026;Skladom
026067;Bezkontaktná skúšačka napätia a fáz Habotest HT100P;1;306;0;306;22.09.2026;Skladom
026131;Základňa snímača pohybu Sonoff (PIR3, SNZB-03);1;397;0;397;;Skladom
026238;Stropné svietidlo Yeelight Arwen 450S;1;381;0;381;07.10.2026;Skladom
026239;Stropné svietidlo Yeelight Arwen 550S;1;120;0;120;07.10.2026;Skladom
026240;Stropné svetlo Yeelight Arwen 450C;1;1;0;1;07.10.2026;Skladom
026241;Stropné svietidlo Yeelight Arwen 550C;1;182;0;182;07.10.2026;Skladom
026299;Fotoateliér Puluz PU5023 LED 23 cm;0;;0;0;;Na objednávku
026366;Reproduktory Edifier R1280DB 2.0 (čierne);1;105;0;105;03.11.2026;Skladom
026367;Reproduktory Edifier R1280DB 2.0 (hnedé);0;;0;0;28.09.2026;Dostupné od 28.09.2026
026368;Reproduktory Edifier R1280T 2.0 (hnedé);1;10;0;10;22.10.2026;Skladom
026369;Reproduktory Edifier R1600TIII 2.0 (hnedé);1;47;0;47;;Skladom
026370;Reproduktory Edifier R1700BT 2.0 (hnedé);1;218;0;218;28.09.2026;Skladom
026371;Reproduktory Edifier R1700BT 2.0 (čierne);1;155;0;155;28.09.2026;Skladom
026372;Reproduktory Edifier R2750DB 2.0 (čierne);1;40;0;40;;Skladom
026373;Reproduktory Edifier S2000MKIII 2.0 (hnedé);1;101;0;101;28.09.2026;Skladom
026374;Reproduktory Edifier S350DB 2.1 (hnedé);1;46;0;46;;Skladom
026375;Reproduktory Edifier S360DB 2.1 (hnedé);1;30;0;30;28.09.2026;Skladom
026377;Reproduktory Edifier M1360 2.1 (čierne);0;;0;0;28.09.2026;Dostupné od 28.09.2026
026237;Smart žiarovka LED Yeelight Smart Bulb 1S (biela);0;;0;0;;Na objednávku
026413;Elektronický zastrihávač chĺpkov v nose a ušiach Liberex (červený);0;;0;0;;Na objednávku
026408;Čistiaca kefka na tvár Liberex Egg (ružová);0;;0;0;;Na objednávku
024643;Kábel USB-C na Lightning Baseus s vysokou hustotou opletenia, 20 W, PD, 2 m (biely);0;;0;0;;Na objednávku
025440;Sada dátových káblov Baseus Simple Wisdom USB to Micro 2.1A (2ks/sada) 1,5m biela;1;13;0;13;;Skladom
025645;Zlatý kábel Baseus Tungsten USB na iP 2,4A 1m (čierny);0;;0;0;;Na objednávku
025646;Baseus Tungsten Gold kábel USB na iP 2,4A 2 m (čierny);1;81;0;81;;Skladom
026637;Prilbový držiak Telesin pre športové kamery (GP-HBM-MT2);0;;0;0;22.09.2026;Dostupné od 22.09.2026
026648;Ochranná taška / puzdro Telesin pre GoPro Hero 9 / Hero 10 / Hero 11 (GP-CPB-902);0;;0;0;27.10.2026;Dostupné od 27.10.2026
026649;Podvodné puzdro Telesin Dome Port pre GoPro Hero 9 / Hero 10 / Hero 11 / Hero 12 / Hero 13 (GP-DMP-T09);0;;0;0;22.09.2026;Dostupné od 22.09.2026
026650;Vodotesné puzdro Telesin pre GoPro Hero 9 / Hero 10 / Hero 11 / Hero 12 / Hero 13 (GP-WTP-901);1;107;0;108;22.09.2026;Skladom
026651;Súprava vodotesných filtrov Telesin pre objektív GoPro Hero 9 / Hero 10 / Hero 11 (GP-FLT-904);1;72;0;72;23.11.2026;Skladom
026660;Držiak na batoh Telesin s klipom pre športové kamery (GP-JFM-003);0;;0;0;23.11.2026;Dostupné od 23.11.2026
026662;Hlavový popruh Telesin pre športové kamery (GP-HMS-T04);1;113;0;113;23.11.2026;Skladom
026663;Dvojitý držiak Telesin J-Hook pre športové kamery (GP-MTB-T02-BK);0;;0;0;22.09.2026;Dostupné od 22.09.2026
026665;Teleso na bradu motocyklovej prilby + držiak J-Hook pre športové kamery (GP-HBM-MT7);0;;0;0;22.09.2026;Dostupné od 22.09.2026
025329;Vysielač / prijímač BlitzWolf BW-BL2, Bluetooth 5.0;1;694;0;694;;Skladom
026517;Rýchla cestovná nabíjačka Baseus GaN2 Lite USB+C 65W EU (čierna);0;;0;0;;Na objednávku
026478;Súprava príslušenstva Puluz pre športové kamery PKT39 50 v 1;1;1075;0;1076;;Skladom
026229;Rozbočovač 4v1 Baseus Metal Gleam Series, USB-C na USB 3.0 + USB 2.0 + HDMI + USB-C PD;0;;0;0;;Na objednávku
026531;Inteligentný dávkovač krmiva Petoneer Nutri Mini;1;54;0;55;16.10.2026;Skladom
025069;Baseus Super Si Quick Charger 1C 20W s káblom USB-C pre Lightning 1 m (biely);0;;0;0;;Na objednávku
027612;Inteligentný spínač WiFi Sonoff Dual R3;1;2361;0;2361;27.10.2026;Skladom
027613;Inteligentný bezdrôtový nástenný spínač Sonoff T2EU1C-RF 433 MHz (1-kanálový);0;;0;0;;Na objednávku
027615;Inteligentný bezdrôtový nástenný vypínač Sonoff T2EU3C-RF 433 MHz (3-kanálový);0;;0;0;23.10.2026;Dostupné od 23.10.2026
026428;Štúdiová súprava Puluz softbox 50x70 cm, statív, LED žiarovka 4 ks PU5071EU;1;687;0;688;;Skladom
026429;Štúdiová súprava Puluz softbox 50x70cm, statív, LED žiarovka 1 ks PU5070EU;1;640;0;641;24.09.2026;Skladom
026430;Podpera pozadia pre fotoštúdio Puluz PU3054B 67 cm;1;32;0;32;24.09.2026;Skladom
026431;Podpera pozadia pre fotoštúdio Puluz 70x200cm + pozadia 2 ks DCA0976;1;251;0;251;;Skladom
026433;Podpora pozadia pre fotoštúdio Puluz 200x200cm DCA0975;1;141;0;141;22.09.2026;Skladom
026434;Podpera pozadia pre fotoštúdio Puluz 2x2m + pozadia 3 ks PKT5204;1;204;0;204;;Skladom
026435;Súprava na upevnenie fotografického pozadia Puluz 2x3 m / stojan + 3 fotografické pozadia PKT5205;1;24;0;24;24.09.2026;Skladom
027504;Počítačový ventilátor ARGB Darkflash DR12 Pro (120x120);1;246;0;246;;Skladom
027505;Počítačový ventilátor RGB Darkflash D1 (120x120);1;103;0;104;;Skladom
025070;Baseus Super Si Quick Charger 1C 20W s káblom USB-C pre Lightning 1m (modrý);0;;0;0;;Na objednávku
027661;Ładowarka sieciowa Baseus Speed Mini Quick Charger, USB-C, PD, 3A, 20W (biała);1;375;0;375;;Skladom
027671;Yeelight Svetlo do skrine strieborné 20 cm 2700K;1;144;0;144;23.10.2026;Skladom
027672;Yeelight Svetlo do skrine 40 cm (strieborné) 2700K;1;465;0;465;07.10.2026;Skladom
027673;Yeelight Svetlo do skrine strieborné 60 cm;1;71;0;71;23.10.2026;Skladom
027674;Yeelight Svetlo do skrine čierne 20 cm 2700K;1;54;0;54;23.10.2026;Skladom
027675;Yeelight Svetlo do skrine čierne 40 cm 2700K;1;1113;0;1114;17.11.2026;Skladom
027676;Yeelight Svetlo do skrine čierne 60 cm 2700K;1;494;0;494;;Skladom
028359;Yeelight LED senzorové svetlo do šuplíka;0;;0;0;;Na objednávku
028414;Inteligentný svetelný pásik Wi-Fi MSL320 Meross (HomeKit);1;73;0;74;;Skladom
028421;Reproduktory Edifier R1280DBs 2.0 (čierne);1;107;0;107;22.10.2026;Skladom
028422;Reproduktory Edifier R1280DBs 2.0 (hnedé);1;200;0;200;03.11.2026;Skladom
028424;Reproduktory Edifier R1700BTs 2.0 (hnedé);1;283;0;283;28.09.2026;Skladom
028426;Reproduktory Edifier R2000DB 2.0 (hnedé);1;75;0;75;;Skladom
028425;Reproduktory Edifier R2000DB 2.0 (čierne);1;45;0;45;14.10.2026;Skladom
028428;Subwoofer Edifier T5 (čierny);1;463;0;463;28.09.2026;Skladom
028429;Reproduktory Edifier R2850DB 2.0 (čierne);1;70;0;70;28.09.2026;Skladom
028430;Reproduktory Edifier S1000MKII 2.0 (hnedé);1;77;0;77;27.10.2026;Skladom
028432;Reproduktory Edifier S351DB 2.1 (čierne);1;23;0;23;27.10.2026;Skladom
028420;Reproduktory Edifier HECATE G2000 2.0 (čierne);1;313;0;313;;Skladom
028440;Bezdrôtové slúchadlá Edifier W800BT Plus, aptX (biele);0;;0;0;;Na objednávku
028168;Súprava na uchytenie batohu Telesin s J-háčikom pre GoPro/Osmo Action (GP-BPM-003);1;104;0;104;23.11.2026;Skladom
028169;Súprava na uchytenie popruhu na batoh Telesin s 360° J-háčikom pre GoPro/Osmo Action (GP-BPM-005);1;62;0;62;23.11.2026;Skladom
028493;Reproduktory Edifier Airpulse A80 2.0 (hnedé);1;17;0;17;;Skladom
028494;Reproduktory Edifier Airpulse A100 2.0 (čierne);0;;0;0;;Na objednávku
028502;Reproduktory Edifier P12 2.0 (hnedé);1;40;0;40;14.10.2026;Skladom
028504;Reproduktory Edifier R980T 2.0 (čierne);0;;0;0;22.10.2026;Dostupné od 22.10.2026
028507;Reproduktory Edifier R1100 2.0 (čierne);1;22;0;22;;Skladom
028508;Reproduktory Edifier R1280T 2.0 (biele);1;150;0;150;03.11.2026;Skladom
028509;Reproduktory Edifier R1580MB 2.0 (čierne);0;;0;0;;Na objednávku
028510;Reproduktory Edifier R1855DB 2.0 (čierne);0;;0;0;28.09.2026;Dostupné od 28.09.2026
028516;Reproduktor Edifier D12 (čierny);1;21;0;21;28.09.2026;Skladom
028536;Edifier SS02 znamená reproduktory Edifier S1000MKII / S1000W (hnedé) 2ks.;1;73;0;73;29.09.2026;Skladom
028537;Edifier SS02C stojany pre reproduktory Edifier S2000MKIII (hnedé) 2ks.;0;;0;0;29.09.2026;Dostupné od 29.09.2026
028538;Edifier SS03 stojany pre reproduktory Edifier S3000MKII / S3000 Pro (hnedé) 2ks;0;;0;0;;Na objednávku
028527;Herné slúchadlá Edifier HECATE G2 II (čierne);1;90;0;90;17.11.2026;Skladom
028710;Inteligentný vypínač WiFi s monitorovaním energie Sonoff POWR3 (25A/5500W);1;353;0;353;23.10.2026;Skladom
028759;Držiak na bicykel Telesin pre športové kamery 360° (DJ-HBM-001);1;31;0;31;22.09.2026;Skladom
027969;LED nožnice na nechty PetKit;1;1489;0;1489;;Skladom
027970;Zastrihávač pre domáce zvieratá 2v1 Petkit;1;946;0;946;22.09.2026;Skladom
027972;Náhradný filter pre eliminátor zápachu PetKit Pura Air (2 ks);1;229;0;229;;Skladom
040798;Inteligentná zásuvka Blitzwolf BW-SHP15, ZigBee, 3680W;1;642;0;642;;Skladom
029058;Digitálny kliešťový merač Habotest HT208D;1;11;0;11;29.09.2026;Skladom
029057;Bezkontaktný laserový teplomer Habotest HT650A;1;77;0;77;;Skladom
028971;Sieťová nabíjačka Baseus Compact Quick Charger, 2xUSB, USB-C, PD, 3A, 30W (biela);0;;0;0;;Na objednávku
029016;3-slotový nabíjací box Telesin pre GoPro Hero 5/6/7/8 + 2 batérie (GP-BNC-801);1;77;0;78;23.11.2026;Skladom
029090;Mäkká valcová kefa pre vysávač Dreame T20/T20 Pro;1;9;0;9;;Skladom
029127;Ultrazvuková stierka pokožky 3v1 Liberex;0;;0;0;;Na objednávku
029735;Inteligentný WiFi RGB LED svetelný pás Gosund SL2 (5 m), Tuya;0;;0;0;;Na objednávku
029295;Čelovka Superfire HL55 – 150 lm, USB-C, 4 režimy, 270 m;1;82;0;82;;Skladom
029289;UV baterka Superfire UV06, 395NM;1;799;0;799;;Skladom
029287;Dielenská baterka Superfire G21, 650lm, USB;1;189;0;189;;Skladom
029286;Kempingová lampa Superfire T25 – 400 lm, USB, 3 režimy;1;99;0;99;;Skladom
029280;Zadná bicyklová lampa Superfire BTL02 – USB, 330 mAh, 3 režimy;1;127;0;127;;Skladom
029279;Zadné svetlo na bicykel Superfire BTL01, USB, 230 mAh;1;221;0;226;;Skladom
030075;Inteligentná zástrčka WiFi Gosund EP2 10A Tuya;1;2540;0;2540;;Skladom
031162;Inteligentná zásuvka Gosund EP2 WiFi, 2 kusy (dvojbalenie) 10A Tuya;1;314;0;314;;Skladom
029664;USB kábel pre Lightning Baseus Cafule, 2,4 A, 1 m (zelený);0;;0;0;;Na objednávku
030245;Štartovacia súprava inteligentného termostatu Meross MTS150HHK (HomeKit);1;37;0;37;;Skladom
030465;Smart Hub WiFi/RF 433MHz Sonoff RF BridgeR2;1;269;0;269;23.10.2026;Skladom
029288;UV svietidlo Superfire A5, 365NM;1;345;0;345;04.12.2026;Skladom
029282;Baterka Superfire S33-A – USB, čierna, 4 režimy;1;176;0;176;;Skladom
029278;Solárna lampa Superfire FF5-A, 63W, 500lm, 5000mAh;1;318;0;318;04.12.2026;Skladom
029277;Solárna lampa Superfire FF5-C, 263W, 1200lm, 15000mAh;1;231;0;231;;Skladom
029276;Solárna lampa Superfire FF5-D – 486W, 1400 lm, 20000 mAh;1;145;0;145;;Skladom
029275;Solárna lampa Superfire FF5-E, 897W, 2000lm, 20000mAh;1;281;0;281;;Skladom
028633;LED lampa RGB Puluz pre fotoaparát PU560B;1;54;0;54;;Skladom
028635;Súprava na živé vysielanie Puluz držiak na statív + LED lampa + svorka na telefón;1;114;0;114;;Skladom
028636;Súprava na živé vysielanie Puluz držiak na statív + LED lampa + mikrofón + svorka na telefón;1;165;0;165;;Skladom
030211;Prepravná taška / batoh 2v1 DJI;0;;0;0;;Na objednávku
073706;Inteligentná zásuvka Gosund EP2 WiFi, 4 kusy (štvorbalenie) 10A Tuya;1;35;0;35;;Skladom
030318;Hrudný popruh Telesin s držiakom pre športové kamery (GP-CGP-T07);0;;0;0;23.11.2026;Dostupné od 23.11.2026
030352;Elektronický dychový alkohol tester s LCD displejom (čierny);0;;0;0;;Na objednávku
030322;Baseus Crystal Shine kábel USB na Lightning, 2,4A, 1,2 m (modrý);1;461;0;461;;Skladom
031124;Inteligentný prepínač WiFi WiFi Sonoff Dual R3 Lite;1;760;0;760;27.10.2026;Skladom
030692;Sada 4 filtrov PGYTECH ND-PL 8/16/32/64 pre DJI Mavic 3 / Mavic 3 CINE (P-26A-034);1;14;0;14;;Skladom
030694;Filter PGYTECH VND 2-5 stop pre DJI Mavic 3 / Mavic 3 CINE (P-26A-016);1;5;0;5;;Skladom
030695;Filter PGYTECH VND 6-9 stop pre DJI Mavic 3 / Mavic 3 CINE (P-26A-017);1;8;0;8;;Skladom
030002;Počítačová skriňa Darkflash Aquarius Mesh (čierna);1;1134;0;1134;;Skladom
030003;Počítačová skriňa Darkflash LEO (čierna);1;479;0;480;;Skladom
030019;Ovládací box ventilátora pre počítač Darkflash RC2 RGB PWM (čierny);1;1937;0;1937;;Skladom
019001;Inteligentné Wi-Fi okolité svetlo Meross MSL430 (HomeKit);1;455;0;455;;Skladom
031184;Sonická zubná kefka so súpravou hlavíc a puzdrom FairyWill FW-P11 (čierna);0;;0;0;;Na objednávku
031192;Inteligentná miska na dve jedlá s chladiacou miskou Petoneer;1;363;0;363;;Skladom
