date,product_card_id,on_bidded_position,satellite_name,click_source,shop_item_id,shop_item_name,portal_category_id,portal_category_name,portal_category_tree,visits_total,visits_free,visits_bidded,visits_not_bidded,costs_with_vat_total,costs_with_vat_bidded,costs_with_vat_not_bidded,costs_without_vat_total,costs_without_vat_bidded,costs_without_vat_not_bidded,orders_total,orders_free,orders_bidded,orders_not_bidded,revenue_total,revenue_free,revenue_bidded,revenue_not_bidded
2026-08-17,140543999,false,,product_detail,KB_130282534555,YAMAHA NS-F51 BLACK 1 karton,5949,Stĺpové reproduktory,"Elektronika>TV, audio, video>Reproduktory, soundbary>Stĺpové reproduktory",3,0,0,3,0.555,0,0.555,0.459,0,0.459,0,0,0,0,0,0,0,0
2026-08-17,707500503,false,,product_detail,029278,"Solárna lampa Superfire FF5-A, 63W, 500lm, 5000mAh",2619,Záhradné lampy,"Dielňa, stavba, záhrada>Záhrada>Záhradné osvetlenie>Záhradné lampy",2,0,0,2,0.542,0,0.542,0.448,0,0.448,0,0,0,0,0,0,0,0
2026-08-17,380316692,false,,product_detail,KB_100001942312,Leifheit LinoLift 500 85359,1707,Sušiaky na bielizeň,Bývanie a doplnky>Domáce potreby a upratovanie>Pranie a žehlenie>Sušiaky na bielizeň,1,0,0,1,0.427,0,0.427,0.353,0,0.353,0,0,0,0,0,0,0,0
2026-08-17,709374251,false,,product_detail,062436,Edifier R990BT Speakers (Black),705,Reprosústavy a reproduktory,"Elektronika>TV, audio, video>Reproduktory, soundbary>Reprosústavy a reproduktory",1,0,0,1,0.144,0,0.144,0.119,0,0.119,0,0,0,0,0,0,0,0
2026-08-17,322416939,false,,product_detail,SOL_WM-30WS-L,"Solight LED reflektor PRO so senzorom, 30W, 2760lm, 5000K, IP44",6540,Reflektory,Bývanie a doplnky>Osvetlenie a svietidlá>Reflektory,1,0,0,1,0.242,0,0.242,0.2,0,0.2,0,0,0,0,0,0,0,0
2026-08-17,234416578,false,,product_detail,KB_700001255039,VERBATIM 43962 SDHC 16GB class 10,822,Pamäťové karty,Elektronika>Počítače a notebooky>Príslušenstvo k počítačom>Pamäťové karty,1,0,0,1,0.106,0,0.106,0.088,0,0.088,0,0,0,0,0,0,0,0
2026-08-17,834945226,false,,product_detail,078877,Flytec V801 5200mah návnada loď,8514,Zavážacie loďky,"Hobby>Rybárske potreby>Rybárske návnady, nástrahy a príslušenstvo>Zavážacie loďky",8,0,0,8,3.056,0,3.056,2.528,0,2.528,0,0,0,0,0,0,0,0
2026-08-17,358476850,false,,product_detail,KB_100000473376,"Aligator ALI BT sluchátka AH02,FM,SD,bílá AH02WT",709,Slúchadlá,"Elektronika>TV, audio, video>Slúchadlá",1,0,0,1,0.162,0,0.162,0.134,0,0.134,0,0,0,0,0,0,0,0
2026-08-17,829471564,false,,product_detail,085718,Webová kamera EMEET Pixy,766,Webkamery,Elektronika>Počítače a notebooky>Príslušenstvo k počítačom>Webkamery,1,0,0,1,0.24,0,0.24,0.198,0,0.198,0,0,0,0,0,0,0,0
2026-08-17,737322976,false,,product_detail,KB_100002126960,Indesit BTW S50400 EU/N,962,Práčky,Veľké spotrebiče>Práčky a sušičky>Práčky,1,0,0,1,0.499,0,0.499,0.412,0,0.412,0,0,0,0,0,0,0,0
2026-08-17,785449460,false,,product_detail,082886,"Cyklocomputer Cycplus M3 - kompatibilný s: Strava, Trainingpeaks atď.",5999,Tachometre na bicykel,Šport a outdoor>Športy>Cyklistika>Príslušenstvo na bicykel>Tachometre na bicykel,2,0,0,2,0.324,0,0.324,0.268,0,0.268,1,0,0,1,36,0,0,36
2026-08-17,416922318,false,,product_detail,AT_TIP-04250125,"Baterie olověná 12V/ 7,5 Ah REBEL bezúdržbová",2973,Olovené batérie,Elektronika>Batérie a nabíjanie>Batérie>Olovené batérie,1,0,0,1,0.122,0,0.122,0.101,0,0.101,0,0,0,0,0,0,0,0
2026-08-17,799015584,false,,product_detail,077735,Diagnostický skener motocyklov Ancel MT700,4467,Autodiagnostiky,Auto-moto>Všetko pre autá>Elektronika do auta>Autodiagnostiky,1,0,0,1,0.567,0,0.567,0.469,0,0.469,0,0,0,0,0,0,0,0
2026-08-17,702366308,false,,product_detail,065295,Kamera Insta360 X4,6021,Športové kamery,"Elektronika>Foto, kamery, optika>Foto a kamery>Športové kamery",1,0,0,1,0.415,0,0.415,0.343,0,0.343,0,0,0,0,0,0,0,0
2026-08-17,433032043,false,,product_detail,KB_100001090729,Niceboy VEGA X Lite,6021,Športové kamery,"Elektronika>Foto, kamery, optika>Foto a kamery>Športové kamery",1,0,0,1,0.168,0,0.168,0.139,0,0.139,0,0,0,0,0,0,0,0
2026-08-17,557812408,false,,product_detail,SOL_PP141,"Solight predlžovací prívod, 7 zásuviek, biely, vypínač, 2m",2838,Predlžovacie káble,"Elektronika>TV, audio, video>Príslušenstvo k TV, audio-video>Príslušenstvo k TV>Predlžovacie káble",1,0,0,1,0.104,0,0.104,0.086,0,0.086,0,0,0,0,0,0,0,0
2026-08-17,659253556,false,,product_detail,BAS_BASYS-B_884367-0900,"Bose QuietComfort Headphones Club SC - Bluetooth slúchadlá s potlačením okolitého hluku, čierne",709,Slúchadlá,"Elektronika>TV, audio, video>Slúchadlá",1,0,0,1,0.342,0,0.342,0.283,0,0.283,0,0,0,0,0,0,0,0
2026-08-17,729112204,false,,product_detail,066846,"Arzopa Portable Monitor Z1RC 16,0""",816,Monitory,Elektronika>Počítače a notebooky>Monitory,1,0,0,1,0.215,0,0.215,0.178,0,0.178,1,0,0,1,117.9,0,0,117.9
2026-08-17,828344117,false,,product_detail,083126,"FunWater SUP paddleboard SUPFW05D Tiki 3,2m (zelená)",4782,Paddleboardy,Šport a outdoor>Športy>Vodné športy>Paddleboardy,1,0,0,1,0.317,0,0.317,0.262,0,0.262,0,0,0,0,0,0,0,0
2026-08-17,468909433,false,,product_detail,KB_700000095772,Thomson CR 50,5966,Rádiobudíky,"Elektronika>TV, audio, video>Prenosné audio>Rádiobudíky",1,0,0,1,0.122,0,0.122,0.101,0,0.101,0,0,0,0,0,0,0,0
2026-08-17,824272256,false,,product_detail,085478,3D skener Creality Sermoon P1,5689,3D skenery,Elektronika>Počítače a notebooky>Tlačiarne a príslušenstvo>3D skenery,1,0,0,1,0.696,0,0.696,0.575,0,0.575,0,0,0,0,0,0,0,0
2026-08-17,691060367,false,,product_detail,KB_100002100822,JBL Partybox Stage 320,5948,Bluetooth reproduktory,"Elektronika>TV, audio, video>Reproduktory, soundbary>Bluetooth reproduktory",1,0,0,1,0.501,0,0.501,0.414,0,0.414,0,0,0,0,0,0,0,0
2026-08-17,789671530,false,,product_detail,075423,Štúdiové slúchadlá Maono MH700 (čierne),709,Slúchadlá,"Elektronika>TV, audio, video>Slúchadlá",1,0,0,1,0.19,0,0.19,0.157,0,0.157,0,0,0,0,0,0,0,0
2026-08-17,582722284,false,,product_detail,KB_100002127040,Girmi ST9100,944,Žehličky,Domáce a osobné spotrebiče>Starostlivosť o bielizeň>Žehličky,1,0,0,1,0.273,0,0.273,0.226,0,0.226,0,0,0,0,0,0,0,0
2026-08-17,813539642,false,,product_detail,080232,Plynová varná doska IsEasy MGBS-765 z nehrdzavejúcej ocele,965,Varné dosky,Veľké spotrebiče>Spotrebiče do kuchyne>Varenie a ohrievanie>Varné dosky,1,0,0,1,0.405,0,0.405,0.335,0,0.335,1,0,0,1,125.5,0,0,125.5
2026-08-17,792526743,false,,product_detail,070506,Elektrický masážny prístroj na tvár Guasha ANLAN 02-AGSY41-02A,1024,Masážne prístroje,Domáce a osobné spotrebiče>Starostlivosť o telo a zdravie>Starostlivosť o telo>Masážne prístroje,1,0,0,1,0.273,0,0.273,0.226,0,0.226,0,0,0,0,0,0,0,0
2026-08-17,404488457,false,,product_detail,082664,Detektor kovov Garrett ACE 400i,4821,Hobby detektory,Hobby>Pre domácich majstrov a záhradkárov>Hobby detektory,1,0,0,1,0.814,0,0.814,0.673,0,0.673,0,0,0,0,0,0,0,0
2026-08-17,842873371,false,,product_detail,KB_100002203351,Beko B3RCSO255W,1041,Chladničky,Veľké spotrebiče>Spotrebiče do kuchyne>Chladenie a mrazenie>Chladničky,1,0,0,1,0.46,0,0.46,0.38,0,0.38,0,0,0,0,0,0,0,0
2026-08-17,13762883,false,,product_detail,BAS_BASYS-C-1U,Behringer C-1U USB štúdiový kondenzátorový mikrofón,710,Mikrofóny,"Elektronika>TV, audio, video>Mikrofóny",1,0,0,1,0.182,0,0.182,0.15,0,0.15,0,0,0,0,0,0,0,0
2026-08-17,270374680,false,,product_detail,KB_100000124700,MAXXO VM Profi,3065,Zváračky fólií a vákuovačky,Domáce a osobné spotrebiče>Kuchynské spotrebiče>Príprava jedla>Malé kuchynské spotrebiče>Vychytávky do kuchyne>Zváračky fólií a vákuovačky,1,0,0,1,0.444,0,0.444,0.367,0,0.367,0,0,0,0,0,0,0,0
2026-08-17,840480654,false,,product_detail,AT_LEC-RBA-4500-WH,"Paddleboard SUP REBEL ACTIVE RBA-4500-WH 11'6"" 350x81x15cm BÍLÝ",4782,Paddleboardy,Šport a outdoor>Športy>Vodné športy>Paddleboardy,1,0,0,1,0.302,0,0.302,0.25,0,0.25,0,0,0,0,0,0,0,0
2026-08-17,418019668,false,,product_detail,KB_100000821076,GORENJE F4142PW,959,Mrazničky,Veľké spotrebiče>Spotrebiče do kuchyne>Chladenie a mrazenie>Mrazničky,7,0,0,7,2.968,0,2.968,2.45,0,2.45,0,0,0,0,0,0,0,0
2026-08-17,473598172,false,,product_detail,KB_100001188839,Rowenta ZR009008,4211,Filtre do vysávačov,Domáce a osobné spotrebiče>Spotrebiče na upratovanie>Príslušenstvo pre upratovacie spotrebiče>Filtre do vysávačov,1,0,0,1,0.119,0,0.119,0.098,0,0.098,0,0,0,0,0,0,0,0
2026-08-17,749219827,false,,product_detail,090576,Projektor Magcubic HY320 (biely),699,Projektory,"Elektronika>TV, audio, video>Projekčná technika>Projektory",1,0,0,1,0.24,0,0.24,0.198,0,0.198,0,0,0,0,0,0,0,0
2026-08-17,830017072,false,,product_detail,086911,Slnečné okuliare Colmi A2 AI s UV ochranou a fialovými sklami,4939,Inteligentné okuliare,Elektronika>Inteligentná domácnosť>Wearables>Inteligentné okuliare,2,0,0,2,0.404,0,0.404,0.334,0,0.334,0,0,0,0,0,0,0,0
2026-08-17,21608234,false,,product_detail,KB_340110035590,GORENJE R 506 E,970,Elektrické kuchynské krájače,Domáce a osobné spotrebiče>Kuchynské spotrebiče>Príprava jedla>Malé kuchynské spotrebiče>Krájanie a strúhanie>Elektrické kuchynské krájače,1,0,0,1,0.344,0,0.344,0.284,0,0.284,0,0,0,0,0,0,0,0
2026-08-17,785788381,false,,product_detail,070509,Prístroj na spevnenie tváre ANLAN 01-AVLY41-02A,1024,Masážne prístroje,Domáce a osobné spotrebiče>Starostlivosť o telo a zdravie>Starostlivosť o telo>Masážne prístroje,4,0,0,4,1.092,0,1.092,0.904,0,0.904,0,0,0,0,0,0,0,0
2026-08-17,791036862,false,,product_detail,081289,UREVO FoldiMix 5L Pro elektrický bežecký pás (strieborný),1317,Bežecké pásy,Šport a outdoor>Športy>Fitness>Trenažéry>Bežecké pásy,1,0,0,1,0.811,0,0.811,0.67,0,0.67,0,0,0,0,0,0,0,0
2026-08-17,225633409,false,,product_detail,SOL_WO44,"Solight LED stolná lampička nabíjacia, 5W, RGB podsvietenie, stmievateľná, USB napájanie",2149,Lampičky,Bývanie a doplnky>Osvetlenie a svietidlá>Lampičky,1,0,0,1,0.242,0,0.242,0.2,0,0.2,0,0,0,0,0,0,0,0
2026-08-17,836708609,false,,product_detail,083136,Euhomy CF008-30BL 30L chladnička do auta (čierna),1042,Prenosné chladničky,Veľké spotrebiče>Spotrebiče do kuchyne>Chladenie a mrazenie>Prenosné chladničky,1,0,0,1,0.517,0,0.517,0.427,0,0.427,0,0,0,0,0,0,0,0
2026-08-17,759926304,false,,product_detail,075531,Bezdrôtový robot na čistenie bazénov Wybot C1 Pro,1560,Bazénové vysávače,"Dielňa, stavba, záhrada>Bazény a doplnky>Čistenie bazénov>Bazénové vysávače",1,0,0,1,0.969,0,0.969,0.801,0,0.801,0,0,0,0,0,0,0,0
2026-08-17,778676603,false,,product_detail,SOL_V60,Solight profesionálny multimeter,3762,Ampermetre a voltmetre,"Dielňa, stavba, záhrada>Stavba>Stavebná technika a náradie>Meradlá a meracie prístroje>Meranie napätia>Ampermetre a voltmetre",1,0,0,1,0.14,0,0.14,0.116,0,0.116,0,0,0,0,0,0,0,0
2026-08-17,696679361,false,,product_detail,074474,Digitálny multimeter Habotest HT86B,3762,Ampermetre a voltmetre,"Dielňa, stavba, záhrada>Stavba>Stavebná technika a náradie>Meradlá a meracie prístroje>Meranie napätia>Ampermetre a voltmetre",1,0,0,1,0.09,0,0.09,0.074,0,0.074,0,0,0,0,0,0,0,0
2026-08-17,840679629,false,,product_detail,KB_100002203894,JBL PartyBox 330,5948,Bluetooth reproduktory,"Elektronika>TV, audio, video>Reproduktory, soundbary>Bluetooth reproduktory",1,0,0,1,0.513,0,0.513,0.424,0,0.424,0,0,0,0,0,0,0,0
2026-08-17,833963676,false,,product_detail,KB_100002203143,Samsung OLED QE48S85H,2873,Televízory,"Elektronika>TV, audio, video>Televízory",1,0,0,1,0.44,0,0.44,0.364,0,0.364,0,0,0,0,0,0,0,0
2026-08-17,841204284,false,,product_detail,KB_100002202821,Gorenje WG2PS74A2W,962,Práčky,Veľké spotrebiče>Práčky a sušičky>Práčky,1,0,0,1,0.485,0,0.485,0.401,0,0.401,0,0,0,0,0,0,0,0
2026-08-17,750554217,false,,product_detail,KB_100002130861,Gorenje RKI517E41,1041,Chladničky,Veľké spotrebiče>Spotrebiče do kuchyne>Chladenie a mrazenie>Chladničky,1,0,0,1,0.509,0,0.509,0.421,0,0.421,0,0,0,0,0,0,0,0
2026-08-17,785200579,false,,product_detail,SOL_TR01,"Solight lokátor na bicykel, Find My kompatibilný",6240,Inteligentné lokátory,Elektronika>Inteligentná domácnosť>Wearables>Inteligentné lokátory,4,0,0,4,0.488,0,0.488,0.404,0,0.404,0,0,0,0,0,0,0,0
2026-08-17,718285024,false,,product_detail,065087,GPS bike computer Cycplus M1,5999,Tachometre na bicykel,Šport a outdoor>Športy>Cyklistika>Príslušenstvo na bicykel>Tachometre na bicykel,2,0,0,2,0.266,0,0.266,0.22,0,0.22,0,0,0,0,0,0,0,0
2026-08-17,421642719,false,,product_detail,028430,Reproduktory Edifier S1000MKII 2.0 (hnedé),705,Reprosústavy a reproduktory,"Elektronika>TV, audio, video>Reproduktory, soundbary>Reprosústavy a reproduktory",1,0,0,1,0.283,0,0.283,0.234,0,0.234,0,0,0,0,0,0,0,0
2026-08-17,719904185,false,,product_detail,AT_LEC-RBA-4507-WH,Paddleboard SUP REBEL ACTIVE RBA-4507-WH - bílý 11' 335x84x15 cm,4782,Paddleboardy,Šport a outdoor>Športy>Vodné športy>Paddleboardy,1,0,0,1,0.317,0,0.317,0.262,0,0.262,0,0,0,0,0,0,0,0
2026-08-17,719904185,false,,search,AT_LEC-RBA-4507-WH,Paddleboard SUP REBEL ACTIVE RBA-4507-WH - bílý 11' 335x84x15 cm,4782,Paddleboardy,Šport a outdoor>Športy>Vodné športy>Paddleboardy,1,0,0,1,0.317,0,0.317,0.262,0,0.262,0,0,0,0,0,0,0,0
2026-08-17,778327494,false,,product_detail,078740,Moza Racing Panel plynu MOZA AS008 MTP (PC),813,Joysticky,Gaming>Herné príslušenstvo>Herné ovládače>Joysticky,1,0,0,1,0.362,0,0.362,0.299,0,0.299,0,0,0,0,0,0,0,0
2026-08-17,134342298,false,,product_detail,KB_341050044421,DOMO DO42325PC,2195,Zaváracie hrnce,Bývanie a doplnky>Bytové doplnky>Doplnky do kuchyne>Zaváranie>Zaváracie hrnce,2,0,0,2,1.022,0,1.022,0.844,0,0.844,0,0,0,0,0,0,0,0
2026-08-17,382547396,false,,product_detail,SOL_HN60,"Solight vonkajšia anténa, DVB-T2, 47dB",4981,Televízne antény DVB-T a DVB-T2,"Elektronika>TV, audio, video>Príslušenstvo k TV, audio-video>Príslušenstvo k TV>Antény>Televízne antény DVB-T a DVB-T2",1,0,0,1,0.14,0,0.14,0.116,0,0.116,0,0,0,0,0,0,0,0
2026-08-17,833934079,false,,product_detail,086337,Projektor Magcubic X7,699,Projektory,"Elektronika>TV, audio, video>Projekčná technika>Projektory",1,0,0,1,0.277,0,0.277,0.229,0,0.229,0,0,0,0,0,0,0,0
2026-08-17,739313474,false,,product_detail,083113,Waydoo Underwater scooter Subnado Lite,5443,Podvodné skútre,Šport a outdoor>Športy>Vodné športy>Potápačské vybavenie>Podvodné skútre,2,0,0,2,0.826,0,0.826,0.682,0,0.682,0,0,0,0,0,0,0,0
2026-08-17,538335162,false,,product_detail,077514,Merač vzdialenosti UNI-T LM120A,3053,Meracie lasery,"Dielňa, stavba, záhrada>Stavba>Stavebná technika a náradie>Meradlá a meracie prístroje>Meranie roviny>Meracie lasery",1,0,0,1,0.294,0,0.294,0.243,0,0.243,0,0,0,0,0,0,0,0
2026-08-17,755637895,false,,product_detail,073609,Gimbal Hohem iSteady M7,5783,Stabilizátory a gimbaly,"Elektronika>Foto, kamery, optika>Príslušenstvo k fotoaparátom>Statívy a príslušenstvo>Stabilizátory a gimbaly",1,0,0,1,0.296,0,0.296,0.245,0,0.245,0,0,0,0,0,0,0,0
2026-08-17,773512905,false,,product_detail,KB_100002137062,BROTHER DCP-T730DW,761,Multifunkčné zariadenia,Elektronika>Počítače a notebooky>Tlačiarne a príslušenstvo>Multifunkčné zariadenia,1,0,0,1,0.479,0,0.479,0.396,0,0.396,0,0,0,0,0,0,0,0
2026-08-17,773641704,false,,product_detail,078739,Moza Racing Koleso MOZA RS068 FSR V2 (PC),814,Volanty,Gaming>Herné príslušenstvo>Herné ovládače>Volanty,1,0,0,1,0.495,0,0.495,0.409,0,0.409,0,0,0,0,0,0,0,0
2026-08-17,842108281,false,,search,SOL_WO820-W,"Solight LED osvetlenie Gari, 26W, 2340lm, 3CCT, IP65, 30cm, biela",2890,LED osvetlenie,Bývanie a doplnky>Osvetlenie a svietidlá>LED osvetlenie,1,0,0,1,0.242,0,0.242,0.2,0,0.2,0,0,0,0,0,0,0,0
2026-08-17,462084167,false,,product_detail,026239,Stropné svietidlo Yeelight Arwen 550S,1663,Svietidlá,Bývanie a doplnky>Osvetlenie a svietidlá>Svietidlá,1,0,0,1,0.534,0,0.534,0.441,0,0.441,0,0,0,0,0,0,0,0
2026-08-17,798687787,false,,product_detail,081238,Inteligentné hodinky Zeblaze Vibe 8 Abyss (Czarny),4800,Inteligentné hodinky,"Elektronika>Mobily, tablety, nositeľná elektronika>Inteligentné hodinky",1,0,0,1,0.194,0,0.194,0.16,0,0.16,0,0,0,0,0,0,0,0
2026-08-17,842125609,false,,search,085867,Sada pedálov MOZA RACING SRP2,814,Volanty,Gaming>Herné príslušenstvo>Herné ovládače>Volanty,1,0,0,1,0.263,0,0.263,0.217,0,0.217,0,0,0,0,0,0,0,0
2026-08-17,742493850,false,,product_detail,069813,Šálkový mixér AMZCHEF ZM5003-GA (sivý),952,Mixéry,Domáce a osobné spotrebiče>Kuchynské spotrebiče>Príprava jedla>Malé kuchynské spotrebiče>Mixovanie a šľahanie>Mixéry,1,0,0,1,0.351,0,0.351,0.29,0,0.29,0,0,0,0,0,0,0,0
2026-08-17,781133531,false,,product_detail,KB_100002128566,Black-Decker Black+Decker BXHB600E Tyčový mixér,952,Mixéry,Domáce a osobné spotrebiče>Kuchynské spotrebiče>Príprava jedla>Malé kuchynské spotrebiče>Mixovanie a šľahanie>Mixéry,2,0,0,2,0.36,0,0.36,0.298,0,0.298,0,0,0,0,0,0,0,0
2026-08-17,561346483,false,,product_detail,KB_100001919102,Candy CFT610/4N/1,963,Digestory,Veľké spotrebiče>Spotrebiče do kuchyne>Varenie a ohrievanie>Digestory,1,0,0,1,0.362,0,0.362,0.299,0,0.299,0,0,0,0,0,0,0,0
2026-08-17,32623273,false,,product_detail,KB_340910114838,TEFAL GC 305012,6260,Domáce grily,Domáce a osobné spotrebiče>Kuchynské spotrebiče>Príprava jedla>Malé kuchynské spotrebiče>Pečenie a opekanie>Domáce grily,1,0,0,1,0.393,0,0.393,0.325,0,0.325,0,0,0,0,0,0,0,0
2026-08-17,842985103,false,,product_detail,KB_100002203245,WHIRLPOOL TW721DSFCEE,962,Práčky,Veľké spotrebiče>Práčky a sušičky>Práčky,1,0,0,1,0.559,0,0.559,0.462,0,0.462,0,0,0,0,0,0,0,0
2026-08-17,430292849,false,,product_detail,KB_100000910016,YAMAHA RX-V4A Black,804,AV prijímače,"Elektronika>TV, audio, video>Hi-Fi komponenty>AV prijímače",1,0,0,1,0.485,0,0.485,0.401,0,0.401,0,0,0,0,0,0,0,0
2026-08-17,842108276,false,,search,SOL_WO821-W,"Solight LED osvetlenie Gari, 44W, 3960lm, 3CCT, IP65, 40cm, biela",2890,LED osvetlenie,Bývanie a doplnky>Osvetlenie a svietidlá>LED osvetlenie,1,0,0,1,0.255,0,0.255,0.211,0,0.211,0,0,0,0,0,0,0,0
2026-08-17,228515347,false,,product_detail,AT_MS-WT_463R,Budík digitální TechnoLine WT 463R s FM radiopřijímačem,706,Rádioprijímače,"Elektronika>TV, audio, video>Prenosné audio>Rádioprijímače",1,0,0,1,0.168,0,0.168,0.139,0,0.139,0,0,0,0,0,0,0,0
2026-08-17,643971896,false,,product_detail,SOL_KP07,"Solight nástenný keramický ohrievač, 2000 W, biely",2365,Elektrické ohrievače,"Dielňa, stavba, záhrada>Kúrenie a ohrev vody>Ohrievače>Elektrické ohrievače",1,0,0,1,0.299,0,0.299,0.247,0,0.247,0,0,0,0,0,0,0,0
2026-08-17,85798641,false,,product_detail,MON_PA-1200RM,Monacor PA-1200RM Montážny rám,805,Zosilňovače,"Elektronika>TV, audio, video>Hi-Fi komponenty>Zosilňovače",1,0,0,1,0.202,0,0.202,0.167,0,0.167,0,0,0,0,0,0,0,0
2026-08-17,829471573,false,,product_detail,085701,Webová kamera EMEET SmartCam Nova 4K,766,Webkamery,Elektronika>Počítače a notebooky>Príslušenstvo k počítačom>Webkamery,1,0,0,1,0.192,0,0.192,0.159,0,0.159,0,0,0,0,0,0,0,0
2026-08-17,800327009,false,,product_detail,KB_100002142380,Girmi FG2800 Horkovzdušní fritéza,6356,Mini rúry,Veľké spotrebiče>Spotrebiče do kuchyne>Varenie a ohrievanie>Mini rúry,2,0,0,2,0.932,0,0.932,0.77,0,0.77,0,0,0,0,0,0,0,0
2026-08-17,834409049,false,,product_detail,078883,Flytec V050 12000mah návnada loď (čierna),8514,Zavážacie loďky,"Hobby>Rybárske potreby>Rybárske návnady, nástrahy a príslušenstvo>Zavážacie loďky",2,0,0,2,0.738,0,0.738,0.61,0,0.61,0,0,0,0,0,0,0,0
2026-08-17,412434452,false,,product_detail,KB_100002144007,"G3Ferrari Vařič, G10061, indukční, sklok",1958,Variče,Domáce a osobné spotrebiče>Kuchynské spotrebiče>Príprava jedla>Malé kuchynské spotrebiče>Varenie a vyprážanie>Variče,1,0,0,1,0.334,0,0.334,0.276,0,0.276,1,0,0,1,117.8,0,0,117.8
2026-08-17,131716204,false,,product_detail,SOL_WO203,"Solight LED kuchynské svietidlo T5, vypínač, 9W, 4100K, 54cm",1663,Svietidlá,Bývanie a doplnky>Osvetlenie a svietidlá>Svietidlá,1,0,0,1,0.177,0,0.177,0.146,0,0.146,0,0,0,0,0,0,0,0
2026-08-17,841030593,false,,product_detail,AT_LEC-RBA-4500-OR,"Paddleboard SUP REBEL ACTIVE RBA-4500-OR 11'6"" 350x81x15cm oranžový",4782,Paddleboardy,Šport a outdoor>Športy>Vodné športy>Paddleboardy,31,0,0,31,9.362,0,9.362,7.75,0,7.75,0,0,0,0,0,0,0,0
2026-08-17,642186824,false,,product_detail,082266,Diagnostický skener OBDeleven 2 Pro Pack,4467,Autodiagnostiky,Auto-moto>Všetko pre autá>Elektronika do auta>Autodiagnostiky,1,0,0,1,0.353,0,0.353,0.292,0,0.292,0,0,0,0,0,0,0,0
